Time (s),Current (A),Voltage(V)
0.4330248833,-2.9995954037,3.7743270397
1.4330821037,-2.9995961189,3.730202198
2.4331393242,-2.9996147156,3.7096312046
3.4331965446,-2.9996130466,3.6943056583
4.4332537651,-2.9996306896,3.6816892624
5.4333109856,-2.9996352196,3.6707441807
6.433368206,-2.9996829033,3.6609525681
7.432425499,-2.9996650219,3.6520209312
8.4324827194,-2.9996714592,3.6437504292
9.4325399399,-2.9996647835,3.6360061169
10.4325971603,-2.9996774197,3.6287019253
11.4326543808,-2.9996840954,3.6217474937
12.4327116013,-2.9996623993,3.615111351
13.4327688217,-2.9996674061,3.6087193489
14.4328255653,-2.9996562004,3.6025612354
15.4328827858,-2.9996807575,3.5966148376
16.4329400063,-2.9996919632,3.5908343792
17.4329972267,-2.9996850491,3.5852088928
18.4330544472,-2.9996809959,3.5797400475
19.4331116676,-2.9997239113,3.5743756294
20.4331688881,-2.9996957779,3.569157362
21.4332261086,-2.9997131824,3.56402421
22.433283329,-2.9997045994,3.5589797497
23.4333405495,-2.9997143745,3.5540399551
24.4323978424,-2.9997193813,3.5491883755
25.4324550629,-2.9996826649,3.5444290638
26.4325122833,-2.999707222,3.539737463
27.4325695038,-2.9997062683,3.5351099968
28.4326267242,-2.9997014999,3.5305707455
29.4326839447,-2.9997169971,3.5260777473
30.4327411652,-2.9997088909,3.5216596127
31.4327983856,-2.9997138977,3.5172894001
32.4328556061,-2.9997122288,3.5129902363
33.4329128265,-2.9997184277,3.5087254047
34.4329695702,-2.9997136593,3.5045528412
35.4330267906,-2.9997220039,3.5004277229
36.4330840111,-2.9997279644,3.4963526726
37.4331412315,-2.9997084141,3.4923124313
38.433198452,-2.9997150898,3.4883580208
39.4332556725,-2.9997022152,3.484449625
40.4333128929,-2.9997155666,3.48057127
41.4333701134,-2.9996919632,3.4767575264
42.4324274063,-2.9996993542,3.472976923
43.4324846268,-2.9997048378,3.4692387581
44.4325418472,-2.9997096062,3.4655721188
45.4325990677,-2.9996948242,3.4619445801
46.4326562881,-2.9996871948,3.4583590031
47.4327135086,-2.9996845722,3.4547970295
48.4327707291,-2.9996910095,3.4513156414
49.4328279495,-2.9997150898,3.4478530884
50.43288517,-2.9996886253,3.4444487095
51.4329423904,-2.9997007847,3.4410946369
52.4329996109,-2.9996974468,3.4377465248
53.4330568314,-2.9996945858,3.4344789982
54.433113575,-2.9997208118,3.4312148094
55.4331707954,-2.9996907711,3.4280326366
56.4332280159,-2.9996948242,3.4248793125
57.4332852364,-2.9996907711,3.421746254
58.4333424568,-2.9997131824,3.4186489582
59.4323997498,-2.9997014999,3.4156298637
60.4324564934,-2.9997014999,3.4126198292
61.4325141907,-2.9996991158,3.4096570015
62.4325709343,-2.9996964931,3.4067213535
63.4326286316,-2.999694109,3.4038012028
64.4326853752,-2.9997136593,3.4009552002
65.4327430725,-2.9996919632,3.3981325626
66.4327998161,-2.9996905327,3.3953473568
67.4328575134,-2.9996912479,3.392585516
68.432914257,-2.9996905327,3.3898501396
69.4329719543,-2.9996981621,3.3871722221
70.433028698,-2.9996886253,3.3845186234
71.4330863953,-2.99969244,3.3819005489
72.4331431389,-2.9997074604,3.3793063164
73.4332003593,-2.99969244,3.3767313957
74.4332575798,-2.9996843338,3.3741934299
75.4333148003,-2.9996957779,3.3716797829
76.4333720207,-2.999702692,3.3692154884
77.4324293137,-2.9997031689,3.3667798042
78.4324860573,-2.9996991158,3.3643586636
79.4325437546,-2.9996886253,3.3619706631
80.4326004982,-2.9997205734,3.3596146107
81.4326581955,-2.9996964931,3.3572905064
82.4327149391,-2.999704361,3.3549749851
83.4327726364,-2.9996981621,3.3526983261
84.43282938,-2.9997220039,3.3504450321
85.4328870773,-2.999686718,3.348236084
86.432943821,-2.9996936321,3.3460435867
87.4330015182,-2.9997048378,3.3438601494
88.4330582619,-2.9997105598,3.3417069912
89.4331159592,-2.9997198582,3.3395812511
90.4331727028,-2.9996922016,3.337460041
91.4332304001,-2.9997069836,3.3353943825
92.4332871437,-2.999723196,3.3333330154
93.4333443642,-2.9997050762,3.331315279
94.4324011803,-2.9997055531,3.3293218613
95.4324584007,-2.9997301102,3.3273234367
96.4325156212,-2.9997062683,3.3253433704
97.4325728416,-2.9997150898,3.3234095573
98.4326300621,-2.9997112751,3.3214895725
99.4326872826,-2.9997084141,3.3196024895
100.432744503,-2.9997172356,3.3177301884
101.4328017235,-2.9997034073,3.3158676624
102.4328589439,-2.9997127056,3.3140177727
103.4329161644,-2.9997289181,3.3121874332
104.4329733849,-2.9997086525,3.3103914261
105.4330306053,-2.9997117519,3.3086123466
106.4330878258,-2.9997265339,3.3068454266
107.4331450462,-2.9997196198,3.3050942421
108.4332022667,-2.9997155666,3.3033707142
109.4332594872,-2.9997167587,3.3016602993
110.4333167076,-2.9997138977,3.2999768257
111.4333739281,-2.9997208118,3.2983016968
112.432431221,-2.9997282028,3.296649456
113.4324879646,-2.9997222424,3.2950167656
114.4325451851,-2.9997167587,3.2933897972
115.4326024055,-2.9997143745,3.2917723656
116.432659626,-2.9997127056,3.2901957035
117.4327168465,-2.9997346401,3.2886281013
118.4327740669,-2.9997003078,3.2870543003
119.4328312874,-2.999714613,3.2855088711
120.4328885078,-2.999702692,3.2839655876
121.4329457283,-2.9997222424,3.2824647427
122.4330029488,-2.9997386932,3.280949831
123.4330601692,-2.9997291565,3.2794687748
124.4331173897,-2.9997370243,3.2780125141
125.4331746101,-2.9997127056,3.2765407562
126.4332318306,-2.9997191429,3.2750966549
127.4332890511,-2.999733448,3.2736868858
128.4333462715,-2.9997344017,3.27226758
129.4324035645,-2.9997291565,3.2708768845
130.4324607849,-2.9997253418,3.2694942951
131.4325180054,-2.999735117,3.2680914402
132.4325752258,-2.9997398853,3.2667529583
133.4326319695,-2.9997274876,3.2654054165
134.4326891899,-2.9997251034,3.2640693188
135.4327464104,-2.999735117,3.2627446651
136.4328036308,-2.9997382164,3.2614359856
137.4328608513,-2.9997336864,3.2601513863
138.4329180717,-2.9997241497,3.2588634491
139.4329752922,-2.9997382164,3.2575986385
140.4330325127,-2.9997260571,3.2563378811
141.4330897331,-2.9997234344,3.2550899982
142.4331469536,-2.9997389317,3.2538375854
143.433204174,-2.9997282028,3.2526166439
144.4332613945,-2.9997255802,3.2513973713
145.433318615,-2.9997358322,3.2501916885
146.4333758354,-2.9997344017,3.2490074635
147.4324331284,-2.9997179508,3.2478129864
148.4324903488,-2.9997160435,3.2466392517
149.4325475693,-2.9997315407,3.2454726696
150.4326047897,-2.9997193813,3.2443096638
151.4326620102,-2.9997282028,3.2431550026
152.4327192307,-2.9997460842,3.2420349121
153.4327759743,-2.9997308254,3.2409026623
154.4328331947,-2.9997322559,3.2397592068
155.4328904152,-2.9997348785,3.2386667728
156.4329476357,-2.9997396469,3.2375600338
157.4330048561,-2.9997403622,3.2364573479
158.4330620766,-2.9997324944,3.2353718281
159.433119297,-2.9997460842,3.2342820168
160.4331765175,-2.9997329712,3.2332458496
161.4332337379,-2.9997386932,3.2321581841
162.4332909584,-2.9997570515,3.2311365604
163.4333481789,-2.9997391701,3.2301108837
164.4324054718,-2.9997186661,3.2290728092
165.4324626923,-2.9997296333,3.2280442715
166.4325199127,-2.99974823,3.2270159721
167.4325771332,-2.9997246265,3.2260129452
168.4326343536,-2.9997439384,3.2250049114
169.4326915741,-2.9997344017,3.2240166664
170.4327487946,-2.9997451305,3.2230386734
171.432806015,-2.9997324944,3.2220540047
172.4328627586,-2.9997415543,3.2210643291
173.4329199791,-2.9997479916,3.2201128006
174.4329771996,-2.9997289181,3.2191524506
175.43303442,-2.9997484684,3.2181961536
176.4330916405,-2.9997384548,3.2172539234
177.4331488609,-2.9997582436,3.2163281441
178.4332060814,-2.9997420311,3.2153768539
179.4332633018,-2.9997365475,3.2144606113
180.4333205223,-2.9997498989,3.2135417461
181.4333777428,-2.9997425079,3.2126326561
182.4324350357,-2.9997494221,3.2117226124
183.4324917793,-2.9997606277,3.210811615
184.4325494766,-2.999733448,3.2099268436
185.4326062202,-2.9997456074,3.209038496
186.4326639175,-2.9997553825,3.2081580162
187.4327206612,-2.9997439384,3.2072639465
188.4327783585,-2.9997553825,3.2063908577
189.4328351021,-2.9997606277,3.2055389881
190.4328927994,-2.9997472763,3.204669714
191.432949543,-2.9997498989,3.2038207054
192.4330067635,-2.9997496605,3.2029809952
193.4330639839,-2.9997487068,3.2021098137
194.4331212044,-2.9997363091,3.2012712955
195.4331784248,-2.9997346401,3.2004442215
196.4332356453,-2.9997513294,3.1996119022
197.4332923889,-2.9997456074,3.1987838745
198.4333500862,-2.9997458458,3.1979560852
199.4324069023,-2.9997465611,3.1971366405
200.4324645996,-2.9997661114,3.1963219643
201.4325213432,-2.9997317791,3.1955187321
202.4325790405,-2.9997611046,3.1947097778
203.4326357841,-2.9997575283,3.1939201355
204.4326934814,-2.9997260571,3.1931180954
205.4327502251,-2.9997491837,3.1923377514
206.4328079224,-2.9997389317,3.191565752
207.432864666,-2.9997534752,3.1907801628
208.4329223633,-2.9997472763,3.190012455
209.4329791069,-2.9997425079,3.1892077923
210.4330368042,-2.9997565746,3.1884362698
211.4330935478,-2.9997603893,3.1876683235
212.4331507683,-2.9997308254,3.1868987083
213.4332079887,-2.9997467995,3.1861450672
214.4332652092,-2.999755621,3.1853704453
215.4333224297,-2.9997420311,3.1846067905
216.4333796501,-2.999730587,3.18385005
217.4324364662,-2.9997479916,3.1831095219
218.4324936867,-2.9997413158,3.1823532581
219.4325509071,-2.9997637272,3.1815936565
220.4326081276,-2.999751091,3.1808693409
221.4326653481,-2.9997377396,3.1801331043
222.4327225685,-2.99974823,3.1793911457
223.432779789,-2.999745369,3.178658247
224.4328370094,-2.9997150898,3.1779315472
225.4328942299,-2.9997336864,3.1772081852
226.4329514503,-2.9997317791,3.1764764786
227.4330086708,-2.9997358322,3.1757645607
228.4330658913,-2.9997460842,3.1750500202
229.4331231117,-2.9997391701,3.1743383408
230.4331803322,-2.9997370243,3.1736438274
231.4332375526,-2.9997560978,3.1729314327
232.4332947731,-2.999733448,3.1722216606
233.4333519936,-2.9997432232,3.1715180874
234.4324088097,-2.9997291565,3.1708161831
235.4324660301,-2.9997324944,3.1701211929
236.4325232506,-2.9997527599,3.169408083
237.432580471,-2.999733448,3.1687207222
238.4326376915,-2.9997508526,3.1680276394
239.432694912,-2.9997663498,3.1673338413
240.4327521324,-2.9997582436,3.1666617393
241.4328093529,-2.9997317791,3.165967226
242.4328665733,-2.9997456074,3.1652793884
243.4329237938,-2.9997615814,3.1645951271
244.4329810143,-2.9997456074,3.1639156342
245.4330382347,-2.9997322559,3.1632306576
246.4330954552,-2.9997446537,3.1625621319
247.4331526756,-2.9997456074,3.1618852615
248.4332098961,-2.9997484684,3.1612153053
249.4332671165,-2.9997410774,3.1605350971
250.433324337,-2.9997634888,3.1598525047
251.4333815575,-2.9997472763,3.1591899395
252.4324383736,-2.9997591972,3.1585161686
253.432495594,-2.999758482,3.1578419209
254.4325528145,-2.9997427464,3.1571714878
255.4326100349,-2.9997370243,3.156537056
256.4326672554,-2.9997360706,3.1558632851
257.4327244759,-2.9997439384,3.1552128792
258.4327816963,-2.999733448,3.1545670033
259.4328389168,-2.9997348785,3.1538860798
260.4328961372,-2.9997444153,3.1532371044
261.4329533577,-2.9997365475,3.1525998116
262.4330105782,-2.9997534752,3.1519248486
263.4330677986,-2.9997358322,3.1512811184
264.4331250191,-2.9997479916,3.150624752
265.4331822395,-2.999751091,3.1499814987
266.43323946,-2.999735117,3.1493201256
267.4332966805,-2.9997608662,3.1486783028
268.4333539009,-2.9997622967,3.1480185986
269.4324111938,-2.9997444153,3.1473970413
270.4324684143,-2.9997615814,3.1467237473
271.4325251579,-2.9997460842,3.146081686
272.4325823784,-2.9997401237,3.1454534531
273.4326395988,-2.9997663498,3.1448101997
274.4326968193,-2.999751091,3.1441845894
275.4327540398,-2.9997570515,3.1435372829
276.4328112602,-2.9997553825,3.1428940296
277.4328684807,-2.9997630119,3.1422526836
278.4329257011,-2.999756813,3.141602993
279.4329829216,-2.9997594357,3.1409730911
280.4330401421,-2.9997444153,3.1403288841
281.4330973625,-2.9997634888,3.1396970749
282.433154583,-2.9997622967,3.1390504837
283.4332118034,-2.9997577667,3.1384222507
284.4332690239,-2.9997596741,3.1377928257
285.4333262444,-2.9997594357,3.137150526
286.4333834648,-2.9997360706,3.1365237236
287.4324407578,-2.9997553825,3.1358907223
288.4324979782,-2.9997472763,3.1352672577
289.4325551987,-2.9997632504,3.1346340179
290.4326124191,-2.9997437,3.1340014935
291.4326691628,-2.9997611046,3.1333692074
292.4327263832,-2.9997618198,3.1327445507
293.4327836037,-2.9997611046,3.1320946217
294.4328408241,-2.9997496605,3.1314790249
295.4328980446,-2.9997446537,3.1308422089
296.432955265,-2.9997606277,3.1302134991
297.4330124855,-2.999751091,3.1295795441
298.433069706,-2.9997520447,3.1289491653
299.4331269264,-2.9997537136,3.1283116341
300.4331841469,-2.9997725487,3.1276986599
301.4332413673,-2.9997472763,3.1270587444
302.4332985878,-2.9997324944,3.1264383793
303.4333558083,-2.9997498989,3.1258134842
304.4324126244,-2.9997429848,3.1251761913
305.4324703217,-2.999755621,3.12453866
306.4325270653,-2.9997828007,3.1239209175
307.4325847626,-2.9997704029,3.123291254
308.4326415062,-2.9997432232,3.1226525307
309.4326992035,-2.9997632504,3.1220405102
310.4327559471,-2.9997525215,3.1214177608
311.4328131676,-2.999745369,3.1207714081
312.432870388,-2.9997437,3.1201627254
313.4329276085,-2.9997386932,3.1195547581
314.4329848289,-2.9997529984,3.1189324856
315.4330420494,-2.9997396469,3.1182997227
316.433098793,-2.9997634888,3.1176917553
317.4331564903,-2.9997458458,3.1170504093
318.4332132339,-2.9997594357,3.1164073944
319.4332709312,-2.9997582436,3.1157991886
320.4333276749,-2.9997429848,3.1151778698
321.4333853722,-2.9997637272,3.1145482063
322.4324421883,-2.999735117,3.113948822
323.4324998856,-2.9997551441,3.1133041382
324.4325566292,-2.9997513294,3.112701416
325.4326143265,-2.9997513294,3.1120746136
326.4326710701,-2.9997692108,3.1114621162
327.4327287674,-2.999751091,3.1108326912
328.432785511,-2.9997441769,3.1102085114
329.4328432083,-2.9997718334,3.1095900536
330.4328999519,-2.9997706413,3.1089689732
331.4329571724,-2.9997534752,3.1083414555
332.4330143929,-2.9997787476,3.1077296734
333.4330716133,-2.9997634888,3.1070804596
334.4331283569,-2.9997651577,3.1064624786
335.4331860542,-2.9997472763,3.1058526039
336.4332427979,-2.9997694492,3.1052181721
337.4333004951,-2.9997735023,3.1046054363
338.4333572388,-2.9997754097,3.1039853096
339.4324145317,-2.9997713566,3.1033680439
340.4324717522,-2.9997770786,3.1027445793
341.4325289726,-2.9997506142,3.1021034718
342.4325861931,-2.9997630119,3.1014912128
343.4326434135,-2.9997754097,3.1008799076
344.432700634,-2.9997529984,3.1002502441
345.4327578545,-2.9997742176,3.0996184349
346.4328150749,-2.9997467995,3.099013567
347.4328722954,-2.9997551441,3.0983998775
348.4329295158,-2.9997785091,3.0977721214
349.4329867363,-2.9997711182,3.0971372128
350.4330439568,-2.9997608662,3.0965249538
351.4331011772,-2.9997465611,3.0959033966
352.4331583977,-2.9997460842,3.0952847004
353.4332156181,-2.9997732639,3.0946753025
354.4332723618,-2.9997484684,3.0940554142
355.4333295822,-2.999768734,3.0934400558
356.4333868027,-2.9997470379,3.0928239822
357.4324440956,-2.9997661114,3.0921871662
358.4325013161,-2.9997646809,3.0915799141
359.4325585365,-2.9997813702,3.0909483433
360.432615757,-2.9997885227,3.0903291702
361.4326729774,-2.9997842312,3.0897221565
362.4327301979,-2.9997591972,3.0890977383
363.4327874184,-2.9997346401,3.0884919167
364.4328446388,-2.999758482,3.0878546238
365.4329018593,-2.9997694492,3.0872175694
366.4329590797,-2.9997444153,3.0865933895
367.4330163002,-2.9997596741,3.0859861374
368.4330735207,-2.9997472763,3.0853559971
369.4331307411,-2.9997560978,3.0847389698
370.4331879616,-2.9997403622,3.0841252804
371.433245182,-2.9997582436,3.0834982395
372.4333024025,-2.9997749329,3.0828888416
373.433359623,-2.999771595,3.0822412968
374.4324164391,-2.999786377,3.0816216469
375.4324736595,-2.9997506142,3.0809919834
376.43253088,-2.9997677803,3.0803711414
377.4325881004,-2.9997508526,3.0797600746
378.4326453209,-2.9997661114,3.0791375637
379.4327025414,-2.9997611046,3.0785212517
380.4327597618,-2.9997565746,3.0778729916
381.4328169823,-2.9997882843,3.077239275
382.4328742027,-2.9997639656,3.0766150951
383.4329314232,-2.9997637272,3.0759909153
384.4329886436,-2.999776125,3.0753643513
385.4330458641,-2.9997601509,3.0747456551
386.4331030846,-2.9997549057,3.0741243362
387.433160305,-2.9997620583,3.0734844208
388.4332175255,-2.999756813,3.0728702545
389.4332747459,-2.9997606277,3.0722372532
390.4333319664,-2.9997639656,3.0716147423
391.4333891869,-2.9997420311,3.0710113049
392.432446003,-2.9997699261,3.070376873
393.4325032234,-2.9997551441,3.0697462559
394.4325604439,-2.9997880459,3.0691347122
395.4326176643,-2.999778986,3.0684883595
396.4326748848,-2.9997706413,3.0678560734
397.4327321053,-2.999765873,3.0672302246
398.4327893257,-2.999768734,3.0666086674
399.4328465462,-2.9997711182,3.0659818649
400.4329037666,-2.9997644424,3.0653510094
401.4329609871,-2.9997580051,3.0647387505
402.4330182076,-2.999755621,3.0640983582
403.433075428,-2.9997766018,3.0634870529
404.4331326485,-2.9997596741,3.0628182888
405.4331898689,-2.9997649193,3.0622210503
406.4332470894,-2.9997527599,3.0615847111
407.4333043098,-2.9997529984,3.060959816
408.4333615303,-2.9997513294,3.0603299141
409.4324188232,-2.9997663498,3.0596969128
410.4324755669,-2.9997596741,3.0590658188
