Time (s),Current (A),Voltage(V)
0.426024437,-2.9996087551,3.7818038464
1.4260816574,-2.999601841,3.7409110069
2.4261388779,-2.9996035099,3.7214920521
3.4261960983,-2.9996349812,3.7070817947
4.4262533188,-2.9996759892,3.6951441765
5.4263105392,-2.9996733665,3.6847994328
6.4263677597,-2.9996666908,3.6755447388
7.4264249802,-2.9996597767,3.6670684814
8.4264822006,-2.9997110367,3.6592142582
9.4265394211,-2.9997050762,3.6518599987
10.4265966415,-2.9996840954,3.6449177265
11.426653862,-2.9996726513,3.6383256912
12.4267110825,-2.9996976852,3.6320314407
13.4267683029,-2.9996881485,3.6259944439
14.4268255234,-2.9996798038,3.6201593876
15.4268827438,-2.9996907711,3.6145296097
16.4269394875,-2.9996905327,3.6091074944
17.4269967079,-2.9996936321,3.6037998199
18.4260540009,-2.9996910095,3.5986924171
19.4261112213,-2.9997074604,3.5936698914
20.4261684418,-2.9997177124,3.5887739658
21.4262256622,-2.9996948242,3.5839774609
22.4262828827,-2.9996862411,3.5792839527
23.4263401031,-2.9997088909,3.5746746063
24.4263973236,-2.9997036457,3.5701920986
25.4264545441,-2.9997055531,3.5657227039
26.4265117645,-2.9997220039,3.5613636971
27.426568985,-2.9996938705,3.5570716858
28.4266262054,-2.9997110367,3.5528538227
29.4266834259,-2.9997086525,3.5486698151
30.4267406464,-2.9997181892,3.5445604324
31.4267978668,-2.9997179508,3.5405128002
32.4268550873,-2.9996986389,3.5365488529
33.4269123077,-2.999710083,3.5326249599
34.4269695282,-2.9997260571,3.5287487507
35.4260263443,-2.9997282028,3.5249326229
36.4260830879,-2.999710083,3.521143198
37.4261407852,-2.9997267723,3.5174450874
38.4261975288,-2.9996919632,3.5137753487
39.4262552261,-2.9997336864,3.510165453
40.4263119698,-2.9996981621,3.5065977573
41.4263696671,-2.9997184277,3.5030930042
42.4264264107,-2.9996817112,3.4996190071
43.426484108,-2.9997193813,3.4962179661
44.4265408516,-2.9997062683,3.4928314686
45.4265985489,-2.999704361,3.4895217419
46.4266552925,-2.9997091293,3.4862339497
47.4267129898,-2.9996931553,3.482968092
48.4267697334,-2.9997184277,3.4797723293
49.4268274307,-2.9996786118,3.4766216278
50.4268841743,-2.9997000694,3.4734914303
51.4269418716,-2.9997031689,3.4704320431
52.4269986153,-2.9996933937,3.4673902988
53.4260559082,-2.9997091293,3.4643921852
54.4261131287,-2.9997160435,3.4614591599
55.4261703491,-2.9996871948,3.45855546
56.4262270927,-2.9997014999,3.4556562901
57.42628479,-2.9997224808,3.4528374672
58.4263415337,-2.9997096062,3.4500188828
59.426399231,-2.9996845722,3.4472584724
60.4264559746,-2.9997432232,3.4445419312
61.4265136719,-2.9996981621,3.4418466091
62.4265704155,-2.9997286797,3.4391746521
63.4266281128,-2.9997003078,3.4365625381
