Time (s),Current (A),Voltage(V)
0.4250245094,-2.9996352196,3.7964878082
1.4250817299,-2.9996292591,3.7592360973
2.4251389503,-2.9996318817,3.7414762974
3.4251961708,-2.9996643066,3.7282810211
4.4252533913,-2.99969244,3.71732831
5.4253106117,-2.9996991158,3.7078473568
6.4253678322,-2.9996871948,3.6993296146
7.4254250526,-2.9996991158,3.6915376186
8.4254817963,-2.9997169971,3.6843335629
9.4245390892,-2.9997184277,3.6775853634
10.4245963097,-2.9997098446,3.671204567
11.4246535301,-2.9997000694,3.6651673317
12.4247107506,-2.9997088909,3.6594214439
13.424767971,-2.9997181892,3.6538991928
14.4248251915,-2.9997296333,3.648594141
15.424882412,-2.999714613,3.6434931755
16.4249396324,-2.9997155666,3.638586998
17.4249968529,-2.9997432232,3.6337983608
18.4250540733,-2.9997155666,3.6291589737
19.4251112938,-2.9997279644,3.6246504784
20.4251685143,-2.9997267723,3.620244503
21.4252257347,-2.9997205734,3.615967989
22.4252829552,-2.9997282028,3.6117687225
23.4253401756,-2.9997241497,3.6076645851
24.4253973961,-2.9997215271,3.6036436558
25.4254546165,-2.9997389317,3.599697113
26.4245114326,-2.9996986389,3.5958230495
27.4245686531,-2.9997220039,3.59202075
28.4246258736,-2.9997267723,3.5882661343
29.424683094,-2.9997138977,3.5845882893
30.4247403145,-2.9997200966,3.5809416771
31.4247975349,-2.9997212887,3.5773808956
32.4248547554,-2.9997320175,3.5738754272
33.4249119759,-2.9997460842,3.5704162121
34.4249691963,-2.9997234344,3.5670070648
35.4250264168,-2.9997401237,3.563659668
36.4250836372,-2.9997375011,3.560375452
37.4251408577,-2.9997320175,3.5571157932
38.4251980782,-2.9997031689,3.5539064407
39.4252552986,-2.9997348785,3.5507357121
40.4253125191,-2.9996993542,3.5476515293
41.4253697395,-2.999730587,3.5445702076
42.42542696,-2.9997062683,3.5415451527
43.4254841805,-2.9997227192,3.5385706425
44.4245409966,-2.9997103214,3.5356488228
45.424598217,-2.9997200966,3.5327661037
46.4246554375,-2.9997329712,3.5299260616
47.4247121811,-2.9997193813,3.5271317959
48.4247698784,-2.9997212887,3.5243721008
49.424826622,-2.9997169971,3.5216598511
50.4248843193,-2.9997239113,3.5189898014
51.4249410629,-2.9997074604,3.5163497925
52.4249987602,-2.99969244,3.5137681961
53.4250555038,-2.9997158051,3.5111911297
54.4251132011,-2.9997200966,3.5086672306
55.4251699448,-2.9997270107,3.5061533451
56.4252276421,-2.9997158051,3.5037145615
57.4252843857,-2.9997308254,3.5012886524
58.425342083,-2.999712944,3.4988987446
59.4253988266,-2.9997155666,3.4965538979
60.4254565239,-2.9997150898,3.4942235947
61.42451334,-2.9997160435,3.4919326305
62.4245710373,-2.9997270107,3.4896743298
63.4246277809,-2.9997155666,3.4874455929
64.4246850014,-2.9997153282,3.4852449894
65.4247422218,-2.999707222,3.483052969
66.4247994423,-2.9997098446,3.4809155464
67.4248561859,-2.9997279644,3.4788069725
68.4249138832,-2.9997155666,3.476713419
69.4249706268,-2.9997050762,3.4746415615
70.4250283241,-2.9997138977,3.4725797176
71.4250850677,-2.9996910095,3.4705679417
72.425142765,-2.9997301102,3.4685711861
73.4251995087,-2.9997019768,3.4666030407
74.425257206,-2.9997329712,3.4646327496
75.4253139496,-2.9997167587,3.4627251625
76.4253716469,-2.9997014999,3.4608082771
77.4254283905,-2.9997112751,3.4589185715
78.4254860878,-2.9997191429,3.4570558071
79.4245429039,-2.9997169971,3.4552252293
80.4246001244,-2.9997234344,3.4533929825
81.4246573448,-2.9997150898,3.451587677
82.4247145653,-2.999724865,3.4497933388
83.4247717857,-2.9997143745,3.4480319023
84.4248290062,-2.9997003078,3.4462795258
85.4248862267,-2.9997212887,3.4445414543
86.4249434471,-2.999710083,3.4428369999
87.4250001907,-2.9997167587,3.4411435127
88.4250574112,-2.9997210503,3.4394562244
89.4251146317,-2.999704361,3.4377954006
90.4251718521,-2.9997167587,3.4361407757
91.4252290726,-2.9997270107,3.4345235825
92.425286293,-2.9997355938,3.4329066277
93.4253435135,-2.9997167587,3.4313118458
94.4254007339,-2.9997222424,3.4297263622
95.4254579544,-2.9997389317,3.4281330109
96.4245152473,-2.9997370243,3.4265947342
97.4245724678,-2.999714613,3.4250559807
98.4246296883,-2.9997222424,3.4235112667
99.4246869087,-2.9997208118,3.4220118523
100.4247441292,-2.9997320175,3.4204928875
101.4248013496,-2.9997370243,3.4190063477
102.4248585701,-2.9997336864,3.4175436497
103.4249157906,-2.9997389317,3.4160783291
104.424973011,-2.9997160435,3.4146335125
105.4250302315,-2.9997365475,3.4131939411
106.4250874519,-2.9997410774,3.4117574692
107.4251441956,-2.999733448,3.4103355408
108.425201416,-2.9997255802,3.4089467525
109.4252586365,-2.9997389317,3.4075450897
110.4253158569,-2.9997425079,3.4061841965
111.4253730774,-2.9997475147,3.4047968388
112.4254302979,-2.9997332096,3.4034576416
113.4254875183,-2.9997165203,3.4021031857
114.4245448112,-2.999745369,3.4007766247
115.4246020317,-2.9997286797,3.3994579315
116.4246592522,-2.9997406006,3.3981413841
117.4247164726,-2.9997358322,3.3968462944
118.4247736931,-2.9997246265,3.3955628872
119.4248309135,-2.999735117,3.3942742348
120.424888134,-2.9997401237,3.3929839134
121.4249453545,-2.9997301102,3.3917262554
122.4250025749,-2.9997346401,3.3904666901
123.4250597954,-2.9997112751,3.3892130852
124.4251170158,-2.999730587,3.3879804611
125.4251742363,-2.9997286797,3.3867516518
126.4252309799,-2.9997363091,3.3855319023
127.4252882004,-2.9997465611,3.384313345
128.4253454208,-2.9997437,3.3831105232
129.4254026413,-2.9997384548,3.381937027
130.4254598618,-2.9997291565,3.3807373047
131.4245171547,-2.9997429848,3.3795702457
132.4245743752,-2.9997348785,3.378411293
133.4246315956,-2.9997508526,3.3772509098
134.4246888161,-2.9997403622,3.3761062622
135.4247460365,-2.9997472763,3.3749756813
136.424803257,-2.9997496605,3.3738446236
137.4248604774,-2.9997537136,3.3727095127
138.4249176979,-2.9997386932,3.3715968132
139.4249749184,-2.9997427464,3.3704924583
140.4250321388,-2.9997582436,3.3693788052
141.4250893593,-2.9997406006,3.3682918549
142.4251465797,-2.9997475147,3.3672175407
143.4252038002,-2.9997522831,3.3661379814
144.4252610207,-2.9997425079,3.3650670052
145.4253182411,-2.999758482,3.3640122414
146.4253749847,-2.9997415543,3.3629412651
147.4254322052,-2.9997470379,3.3618657589
148.4244894981,-2.9997525215,3.3608458042
149.4245467186,-2.9997396469,3.3598103523
150.4246039391,-2.9997370243,3.3587722778
151.4246611595,-2.9997630119,3.3577451706
152.42471838,-2.9997251034,3.3567490578
153.4247756004,-2.9997441769,3.3557200432
154.4248328209,-2.9997456074,3.3547298908
155.4248900414,-2.9997460842,3.3537495136
156.4249472618,-2.9997391701,3.352741003
157.4250044823,-2.9997346401,3.3517594337
158.4250617027,-2.9997577667,3.3507926464
159.4251189232,-2.9997420311,3.3497998714
160.4251761436,-2.9997303486,3.3488440514
161.4252333641,-2.9997441769,3.3478808403
162.4252905846,-2.9997515678,3.3469245434
163.425347805,-2.9997403622,3.3459808826
164.4254050255,-2.9997425079,3.3450407982
165.4254622459,-2.9997246265,3.3441112041
166.4245185852,-2.9997372627,3.3431715965
167.4245762825,-2.9997270107,3.3422529697
168.4246330261,-2.9997081757,3.3413393497
169.4246907234,-2.9997303486,3.3404538631
170.424747467,-2.9997322559,3.339517355
171.4248051643,-2.9997324944,3.3386180401
172.424861908,-2.9997301102,3.337720871
173.4249196053,-2.9997596741,3.3368406296
174.4249763489,-2.9997336864,3.3359572887
175.4250340462,-2.9997260571,3.3350913525
176.4250907898,-2.9997365475,3.33420825
177.4251484871,-2.9997332096,3.3333487511
178.4252052307,-2.9997301102,3.3325083256
179.425262928,-2.9997467995,3.3316609859
180.4253196716,-2.9997220039,3.3307962418
181.4253773689,-2.9997501373,3.3299450874
182.4254341125,-2.9997673035,3.3291063309
183.4244914055,-2.9997398853,3.3282697201
184.4245486259,-2.9997549057,3.3274641037
185.4246058464,-2.9997506142,3.3266198635
186.42466259,-2.9997537136,3.3257906437
187.4247202873,-2.9997644424,3.3250126839
188.4247770309,-2.9997437,3.3241865635
189.4248347282,-2.9997651577,3.3233804703
190.4248914719,-2.9997506142,3.3225665092
191.4249491692,-2.999755621,3.3217964172
192.4250059128,-2.9997608662,3.3209960461
193.4250636101,-2.9997451305,3.3202037811
194.4251203537,-2.9997684956,3.3194243908
195.425178051,-2.9997711182,3.3186693192
196.4252347946,-2.9997472763,3.3178901672
197.4252924919,-2.9997730255,3.3171164989
198.4253492355,-2.9997675419,3.3163733482
199.4254069328,-2.9997472763,3.3156023026
200.4254636765,-2.9997525215,3.3148674965
201.4245209694,-2.9997611046,3.3141264915
202.4245781898,-2.9997370243,3.3133876324
203.4246354103,-2.9997484684,3.3126518726
204.4246926308,-2.9997625351,3.3119125366
205.4247498512,-2.9997675419,3.3111772537
206.4248065948,-2.9997577667,3.310459137
207.4248638153,-2.9997651577,3.3097507954
208.4249210358,-2.9997501373,3.3090293407
209.4249782562,-2.9997475147,3.3083145618
210.4250354767,-2.9997589588,3.3076159954
211.4250926971,-2.9997746944,3.3069293499
212.4251499176,-2.9997591972,3.3062257767
213.4252071381,-2.999758482,3.305533886
214.4252643585,-2.9997603893,3.3048286438
215.425321579,-2.9997589588,3.3041625023
216.4253787994,-2.9997560978,3.3034555912
217.4254360199,-2.9997768402,3.3027853966
218.4244933128,-2.9997594357,3.3020980358
219.4245505333,-2.9997725487,3.301404953
220.4246077538,-2.9997706413,3.3007571697
221.4246649742,-2.9997739792,3.3000545502
222.4247221947,-2.9997675419,3.2994055748
223.4247794151,-2.9997637272,3.2987456322
224.4248366356,-2.9997820854,3.2980844975
225.4248933792,-2.9997732639,3.2974486351
226.4249505997,-2.9997441769,3.2967858315
227.4250078201,-2.9997663498,3.296138525
228.4250650406,-2.9997470379,3.2955107689
229.425122261,-2.9997415543,3.2948484421
230.4251794815,-2.9997727871,3.2942242622
231.425236702,-2.9997596741,3.293589592
232.4252939224,-2.9997987747,3.2929530144
