Time (s),Current (A),Voltage(V)
0.4410247803,-2.9996173382,3.8346505165
1.4410824776,-2.9995965958,3.8055987358
2.4411392212,-2.9996473789,3.7909982204
3.4411969185,-2.9996650219,3.7799861431
4.4412536621,-2.9996621609,3.7707176208
5.4413113594,-2.9996733665,3.7625529766
6.441368103,-2.9996852875,3.7551064491
7.4414258003,-2.9996831417,3.7482264042
8.4414825439,-2.9997048378,3.7417631149
9.4415402412,-2.9996995926,3.7356710434
10.4415969849,-2.9996938705,3.7298722267
11.4416546822,-2.9997007847,3.7243397236
12.4407114983,-2.999710083,3.7190525532
13.4407691956,-2.9997251034,3.713953495
14.4408259392,-2.9997098446,3.7090899944
15.4408836365,-2.9997196198,3.7043728828
16.4409403801,-2.9997177124,3.6998095512
17.4409976006,-2.9997236729,3.6954052448
18.441054821,-2.9997117519,3.6911399364
19.4411120415,-2.9997193813,3.6869795322
20.4411687851,-2.9997034073,3.6829431057
21.4412264824,-2.9997091293,3.6789960861
22.441283226,-2.9997045994,3.6751601696
23.4413409233,-2.9997017384,3.6714186668
24.4413976669,-2.9997155666,3.6677072048
25.4414553642,-2.9997222424,3.6641345024
26.4415121078,-2.999710083,3.6605858803
27.4415698051,-2.9997196198,3.6571073532
28.4416265488,-2.9997196198,3.6537034512
29.4406838417,-2.9997155666,3.6503617764
30.4407410622,-2.9997155666,3.6470580101
31.4407982826,-2.9997181892,3.6438238621
32.4408555031,-2.9997262955,3.6406264305
33.4409127235,-2.9997360706,3.6374890804
34.440969944,-2.9997329712,3.6343898773
35.4410271645,-2.9997086525,3.6313581467
36.4410843849,-2.9997112751,3.6283688545
37.4411416054,-2.999733448,3.6253890991
38.4411988258,-2.9997246265,3.6224684715
39.4412555695,-2.9997110367,3.6196081638
40.4413127899,-2.9997296333,3.6167809963
41.4413700104,-2.9997050762,3.6139831543
42.4414272308,-2.9997384548,3.611235857
43.4414844513,-2.9997081757,3.6085031033
44.4415416718,-2.9997200966,3.6058747768
45.4415988922,-2.9997141361,3.6032545567
46.4416561127,-2.9997143745,3.6006774902
47.4407134056,-2.9997150898,3.5981373787
48.4407706261,-2.9997005463,3.5956370831
49.4408278465,-2.9997205734,3.5931987762
50.440885067,-2.9997127056,3.5907931328
51.4409422874,-2.9997084141,3.5884158611
52.4409995079,-2.9997200966,3.5860748291
53.4410567284,-2.9997270107,3.5838086605
54.4411139488,-2.9997315407,3.5815770626
55.4411711693,-2.9997062683,3.579362154
56.4412283897,-2.9996967316,3.5772061348
57.4412856102,-2.9997124672,3.5750563145
58.4413428307,-2.9997167587,3.5729732513
59.4413995743,-2.999727726,3.5709195137
60.4414567947,-2.9997019768,3.5688896179
61.4415140152,-2.9997112751,3.5669105053
62.4415712357,-2.9997172356,3.5649712086
63.4416284561,-2.9997279644,3.5630438328
64.4406857491,-2.999723196,3.5611290932
65.4407429695,-2.9997131824,3.5593016148
66.44080019,-2.9997212887,3.5574421883
67.4408574104,-2.9997315407,3.55565238
68.4409146309,-2.9997191429,3.55387187
69.4409718513,-2.999710083,3.5521194935
70.4410290718,-2.9997110367,3.5503869057
71.4410862923,-2.9997112751,3.548694849
72.4411435127,-2.9997329712,3.5470080376
73.4412007332,-2.999723196,3.5453541279
74.4412579536,-2.9997169971,3.543731451
75.4413151741,-2.9997031689,3.5421261787
76.4413723946,-2.9997155666,3.5405380726
77.441429615,-2.9997317791,3.5389654636
78.4414868355,-2.9997186661,3.5374207497
79.4415435791,-2.9997179508,3.5358846188
80.4416007996,-2.9997050762,3.5343754292
81.44165802,-2.9997205734,3.5328698158
82.440715313,-2.9997415543,3.5313751698
83.4407725334,-2.9997143745,3.529925108
84.4408297539,-2.9997096062,3.5284740925
85.4408869743,-2.9997310638,3.5270338058
86.4409441948,-2.9997181892,3.525639534
87.4410014153,-2.9997210503,3.5242335796
88.4410586357,-2.9997289181,3.5228228569
89.4411158562,-2.9997241497,3.5214619637
90.4411730766,-2.9997427464,3.5200977325
91.4412302971,-2.9997279644,3.5187513828
92.4412875175,-2.9997193813,3.5174064636
93.441344738,-2.9997186661,3.5160930157
94.4414019585,-2.9997341633,3.5147855282
95.4414591789,-2.9997246265,3.5134792328
96.4415163994,-2.9997320175,3.5121908188
97.4415736198,-2.9997329712,3.5109264851
98.4416308403,-2.9997255802,3.5096735954
99.4406876564,-2.999724865,3.5084040165
100.4407448769,-2.9997358322,3.5071554184
101.4408020973,-2.9997282028,3.5059261322
102.4408593178,-2.999724865,3.5046908855
103.4409165382,-2.999730587,3.5034885406
104.4409737587,-2.999727726,3.5022788048
105.4410309792,-2.9997255802,3.5010817051
106.4410881996,-2.9997413158,3.4998955727
107.4411454201,-2.9997575283,3.4987339973
108.4412026405,-2.9997301102,3.4975631237
109.441259861,-2.9997332096,3.4963974953
110.4413170815,-2.9997415543,3.4952414036
111.4413743019,-2.9997446537,3.494104147
112.4414315224,-2.9997427464,3.4929687977
113.4414887428,-2.9997315407,3.4918544292
114.4415459633,-2.9997472763,3.4907221794
115.4416031837,-2.9997594357,3.4896247387
116.4416604042,-2.9997429848,3.4885241985
117.4407172203,-2.9997520447,3.4874289036
118.4407744408,-2.9997370243,3.4863288403
119.4408311844,-2.9997425079,3.485247612
120.4408888817,-2.9997501373,3.4841661453
121.4409456253,-2.9997618198,3.4830949306
122.4410033226,-2.9997494221,3.4820501804
123.4410600662,-2.9997401237,3.4809830189
124.4411177635,-2.9997375011,3.4799437523
125.4411745071,-2.9997515678,3.4788889885
126.4412322044,-2.9997520447,3.4778602123
127.4412889481,-2.9997529984,3.4768362045
128.4413466454,-2.999733448,3.4758088589
129.441403389,-2.9997363091,3.4748060703
130.4414610863,-2.9997551441,3.4737956524
131.4415178299,-2.999771595,3.4727804661
132.4415755272,-2.9997386932,3.4717972279
133.4416322708,-2.9997546673,3.4707882404
134.4406900406,-2.9997553825,3.4698295593
135.4407467842,-2.9997465611,3.4688475132
136.4408040047,-2.9997386932,3.4678864479
137.4408612251,-2.9997529984,3.4669101238
138.4409184456,-2.9997496605,3.4659347534
139.4409751892,-2.9997291565,3.4649822712
140.4410328865,-2.9997320175,3.4640240669
141.4410896301,-2.9997537136,3.4630787373
142.4411473274,-2.9997377396,3.4621293545
143.441204071,-2.9997570515,3.4611868858
144.4412617683,-2.999751091,3.4602518082
145.441318512,-2.9997391701,3.459325552
146.4413762093,-2.9997701645,3.4584021568
147.4414329529,-2.9997348785,3.4574756622
148.4414906502,-2.9997487068,3.4565632343
149.4415473938,-2.9997756481,3.4556438923
150.4416050911,-2.9997706413,3.4547305107
151.4416618347,-2.9997601509,3.4538290501
152.4407191277,-2.9997560978,3.4529602528
153.4407763481,-2.9997403622,3.4520680904
154.4408335686,-2.9997622967,3.4511733055
155.440890789,-2.9997551441,3.4502856731
156.4409480095,-2.9997577667,3.4494063854
157.4410052299,-2.9997651577,3.4485487938
158.4410619736,-2.9997565746,3.4476835728
159.441119194,-2.9997782707,3.4468262196
160.4411764145,-2.9997487068,3.4459784031
161.4412336349,-2.9997498989,3.4451236725
162.4412908554,-2.9997675419,3.4442489147
