Time (s),Current (A),Voltage(V)
0.4240241051,-2.9996125698,3.7938446999
1.4240813255,-2.9995968342,3.7560105324
2.424138546,-2.9996192455,3.7379252911
3.4241957664,-2.9996302128,3.7244844437
4.4242529869,-2.9996392727,3.7133994102
5.4243102074,-2.9996781349,3.7037513256
6.4243674278,-2.9996762276,3.6950626373
7.4244246483,-2.9996812344,3.6871268749
8.4244818687,-2.9996831417,3.6797754765
9.4245390892,-2.9996855259,3.6728892326
10.4245963097,-2.9996757507,3.6663916111
11.4246535301,-2.9997019768,3.6602072716
12.4247107506,-2.9997012615,3.6543223858
13.424767971,-2.9997179508,3.6486737728
14.4248251915,-2.9996919632,3.6432614326
15.424882412,-2.9997253418,3.6380431652
16.4249396324,-2.9996979237,3.6329879761
17.4239969254,-2.9997050762,3.6281015873
18.4240541458,-2.9997172356,3.6233556271
19.4241108894,-2.9997160435,3.618748188
20.4241681099,-2.9997377396,3.6142504215
21.4242253304,-2.9997041225,3.6098527908
22.4242825508,-2.9997198582,3.6055698395
23.4243397713,-2.9997410774,3.6013560295
24.4243969917,-2.9997375011,3.5972588062
25.4244542122,-2.9997220039,3.5932137966
26.4245114326,-2.9997172356,3.5892412663
27.4245686531,-2.9997370243,3.58533144
28.4246258736,-2.9997308254,3.5815119743
29.424683094,-2.9997303486,3.577739954
30.4247403145,-2.9997181892,3.5740306377
31.4247975349,-2.999727726,3.5703811646
32.4248547554,-2.9997141361,3.566783905
33.4249119759,-2.9997439384,3.5632500648
34.4239692688,-2.9997165203,3.5597703457
35.4240264893,-2.999712944,3.5563333035
36.4240837097,-2.9997246265,3.5529663563
37.4241409302,-2.9997205734,3.5496547222
38.4241981506,-2.999710083,3.5463662148
39.4242548943,-2.9997196198,3.5431551933
40.4243121147,-2.9997227192,3.5399808884
41.4243693352,-2.9997158051,3.5368459225
42.4244265556,-2.9997191429,3.5337774754
43.4244837761,-2.9997279644,3.5307383537
44.4245409966,-2.9997332096,3.5277609825
45.424598217,-2.9997165203,3.5248098373
46.4246554375,-2.9997210503,3.5219278336
47.4247126579,-2.9997019768,3.5190827847
48.4247698784,-2.9997034073,3.516269207
49.4248270988,-2.999714613,3.5135073662
50.4248843193,-2.9997074604,3.5107884407
51.4249415398,-2.9997153282,3.5080938339
52.4239983559,-2.9997062683,3.5054328442
53.4240560532,-2.9997031689,3.5028326511
54.4241127968,-2.999710083,3.5002548695
55.4241704941,-2.9997253418,3.4976997375
56.4242272377,-2.9997141361,3.4952049255
57.424284935,-2.9997110367,3.4927260876
58.4243416786,-2.9997193813,3.4903068542
59.4243988991,-2.9997096062,3.4879100323
60.4244561195,-2.9997005463,3.4855418205
61.42451334,-2.9997012615,3.4831943512
62.4245700836,-2.9997141361,3.480877161
63.4246277809,-2.999724865,3.4785859585
64.4246845245,-2.9997034073,3.4763391018
65.4247422218,-2.9997191429,3.4741208553
66.4247989655,-2.9997270107,3.4719235897
67.4248566628,-2.9997239113,3.4697663784
68.4249134064,-2.9997184277,3.4676454067
