Time (s),Current (A),Voltage(V)
0.4240241051,-2.9996078014,3.7667715549
1.4240813255,-2.9996194839,3.7217357159
2.4231381416,-2.999628067,3.7004804611
3.4231958389,-2.9996597767,3.6845619678
4.4232525826,-2.9996747971,3.6714267731
5.4233102798,-2.9996900558,3.6600389481
6.4233670235,-2.9996876717,3.6498689651
7.4234247208,-2.9996862411,3.6405682564
8.4234814644,-2.9997208118,3.6319494247
9.4235391617,-2.9997115135,3.6239066124
10.4235959053,-2.9996957779,3.6162860394
11.4236536026,-2.9996993542,3.6090505123
12.4237103462,-2.9997017384,3.6021077633
13.4237680435,-2.9997317791,3.5954096317
14.4238247871,-2.9997117519,3.5889821053
15.4238824844,-2.9996898174,3.5827419758
16.4239392281,-2.9997057915,3.5766825676
17.4239969254,-2.9997336864,3.5707905293
18.424053669,-2.9997234344,3.5649895668
19.4231109619,-2.9997003078,3.5593676567
20.4231681824,-2.9997141361,3.5538647175
21.423224926,-2.9997131824,3.5484423637
22.4232821465,-2.9997136593,3.5431499481
23.4233393669,-2.9997336864,3.5379140377
24.4233965874,-2.9997088909,3.5328075886
25.4234538078,-2.9997208118,3.5277616978
26.4235110283,-2.9997224808,3.5227866173
27.4235682487,-2.999727726,3.5178790092
28.4236254692,-2.9997267723,3.5130765438
29.4236826897,-2.9997110367,3.5083100796
30.4237399101,-2.9997167587,3.5036144257
31.4237971306,-2.9997236729,3.4989755154
32.423854351,-2.9997007847,3.49442029
33.4239115715,-2.9997115135,3.4899060726
34.423968792,-2.9997222424,3.4854617119
35.4240260124,-2.9997191429,3.4810736179
36.4240832329,-2.9997439384,3.4767580032
37.4231405258,-2.9997336864,3.4724886417
38.4231977463,-2.9997251034,3.4682359695
39.4232549667,-2.9997124672,3.4640700817
40.4233117104,-2.9997034073,3.4599699974
41.4233689308,-2.9997301102,3.455899477
42.4234261513,-2.9997301102,3.4518880844
43.4234833717,-2.9997048378,3.4479129314
44.4235405922,-2.9997246265,3.4440238476
45.4235978127,-2.9997303486,3.440141201
46.4236550331,-2.999730587,3.4363529682
47.4237122536,-2.9997215271,3.4326019287
48.423769474,-2.9997262955,3.4288816452
49.4238266945,-2.999710083,3.4251935482
50.4238839149,-2.9997303486,3.4215703011
51.4239411354,-2.9997022152,3.4179854393
52.4239983559,-2.9997081757,3.4144628048
53.4240555763,-2.9997031689,3.410977602
54.4231128693,-2.9997019768,3.4075367451
55.4231700897,-2.9997122288,3.4041368961
56.4232273102,-2.9996960163,3.40076828
57.4232845306,-2.9997193813,3.3974597454
58.4233417511,-2.9997036457,3.3941855431
59.4233989716,-2.9997153282,3.3909363747
60.4234557152,-2.9997198582,3.3877589703
61.4235129356,-2.9997165203,3.3846011162
62.4235701561,-2.9997382164,3.3814628124
63.4236273766,-2.9997205734,3.3784167767
64.423684597,-2.9997344017,3.3753902912
65.4237418175,-2.999712944,3.3723852634
66.4237990379,-2.9997444153,3.3694226742
67.4238562584,-2.9997255802,3.366496563
68.4239134789,-2.999727726,3.3636221886
69.4239706993,-2.9997420311,3.3607618809
70.4240279198,-2.9997251034,3.3579516411
71.4240851402,-2.999735117,3.3551814556
72.4231424332,-2.9997363091,3.3524544239
73.4231996536,-2.999724865,3.3497552872
74.4232568741,-2.9997181892,3.3470759392
75.4233140945,-2.9997320175,3.3444197178
76.423371315,-2.9997348785,3.3418080807
77.4234285355,-2.9997179508,3.3392157555
78.4234857559,-2.9997193813,3.3366749287
79.4235429764,-2.9997425079,3.3341457844
80.42359972,-2.9997191429,3.3316688538
81.4236569405,-2.9997403622,3.3292119503
82.4237141609,-2.9997241497,3.3267924786
83.4237713814,-2.9997212887,3.3243806362
84.4238286018,-2.9997265339,3.3220083714
85.4238858223,-2.9997286797,3.3196632862
86.4239430428,-2.9997115135,3.3173604012
87.4240002632,-2.9997262955,3.3150477409
88.4240574837,-2.999724865,3.3127844334
89.4231147766,-2.9997191429,3.310536623
90.4231719971,-2.999733448,3.3083474636
91.4232292175,-2.9997103214,3.3061509132
92.423286438,-2.9997270107,3.3039975166
93.4233436584,-2.9997458458,3.3018491268
94.4234008789,-2.9997265339,3.2997326851
95.4234580994,-2.9997267723,3.2976462841
96.4235153198,-2.9997158051,3.2955858707
97.4235725403,-2.9997410774,3.2935349941
98.4236297607,-2.9997081757,3.2915093899
99.4236869812,-2.9997227192,3.289498806
100.4237437248,-2.9997048378,3.2875392437
101.4238009453,-2.999707222,3.2855734825
102.4238581657,-2.9997324944,3.283633709
103.4239153862,-2.999714613,3.281719923
104.4239726067,-2.9997224808,3.2798397541
105.4240298271,-2.9997324944,3.2779500484
106.4240870476,-2.9997208118,3.2761137486
107.4231438637,-2.9997158051,3.2742788792
