Time (s),Current (A),Voltage(V)
0.4270243645,-2.9995684624,3.7807741165
1.4270815849,-2.9995777607,3.7380921841
2.4271388054,-2.9995803833,3.7179825306
3.4261956215,-2.9996087551,3.7032382488
4.4262528419,-2.9996445179,3.6911642551
5.4263095856,-2.9996330738,3.6807484627
6.4263672829,-2.9996497631,3.6714615822
7.4264240265,-2.9996638298,3.6630308628
8.4264817238,-2.9996533394,3.6552340984
9.4265384674,-2.9996566772,3.6479825974
10.4265961647,-2.9996483326,3.6411232948
11.4266529083,-2.9996440411,3.634667635
12.4267106056,-2.999669075,3.6285088062
13.4267673492,-2.9996533394,3.6225979328
14.4268250465,-2.9996676445,3.6169412136
15.4268817902,-2.9996430874,3.6114861965
16.4269394875,-2.9996597767,3.6062381268
17.4269962311,-2.9996674061,3.6011395454
18.4270539284,-2.9996974468,3.5961773396
19.427110672,-2.9996891022,3.5913906097
20.4261684418,-2.9996626377,3.5867016315
21.4262251854,-2.9996647835,3.5821409225
22.4262824059,-2.9996933937,3.5776853561
23.4263396263,-2.9996693134,3.5733242035
24.4263968468,-2.99969244,3.5690541267
25.4264535904,-2.9997012615,3.5648896694
26.4265112877,-2.9997007847,3.560791254
27.4265680313,-2.9996728897,3.5567681789
28.4266257286,-2.9996743202,3.5528321266
29.4266824722,-2.9996933937,3.5489456654
30.4267401695,-2.9996688366,3.5451648235
31.4267969131,-2.9996697903,3.5414152145
32.4268546104,-2.9996767044,3.5377342701
33.4269113541,-2.9996850491,3.5341131687
34.4269690514,-2.9996721745,3.5305438042
35.427025795,-2.9996967316,3.5270411968
36.4270834923,-2.9996886253,3.5235803127
37.4271402359,-2.9996919632,3.5201997757
38.4261975288,-2.9996857643,3.5168411732
39.4262547493,-2.9996976852,3.5135529041
40.4263119698,-2.9996907711,3.510269165
41.4263691902,-2.9997076988,3.5070643425
42.4264264107,-2.9997019768,3.50390625
43.4264836311,-2.9996898174,3.5007739067
44.4265403748,-2.9996747971,3.4976918697
45.4265975952,-2.9996933937,3.4946625233
46.4266548157,-2.9996829033,3.4916646481
47.4267120361,-2.9996814728,3.4887127876
48.4267692566,-2.9996733665,3.4858047962
49.4268264771,-2.9997060299,3.4829134941
50.4268836975,-2.9996824265,3.4800915718
51.426940918,-2.9996926785,3.4772596359
52.4269981384,-2.9996733665,3.4744875431
53.4270553589,-2.9996771812,3.4717268944
54.4271125793,-2.9996814728,3.4690437317
55.4261698723,-2.9996762276,3.466356039
56.4262270927,-2.9996900558,3.4637238979
57.4262843132,-2.9996743202,3.4610943794
58.4263415337,-2.9996755123,3.4585020542
59.4263987541,-2.9997060299,3.4559566975
60.4264559746,-2.9997067451,3.453430891
61.426513195,-2.9997096062,3.4509248734
62.4265704155,-2.9997117519,3.4484708309
63.426627636,-2.9996962547,3.4460408688
64.4266843796,-2.9997105598,3.4436004162
65.4267416,-2.9997117519,3.4412152767
66.4267988205,-2.9997236729,3.4388546944
67.426856041,-2.9997158051,3.4365105629
68.4269132614,-2.9997076988,3.4342226982
69.4269704819,-2.9997105598,3.4319396019
70.4270277023,-2.9997200966,3.4296495914
71.4270849228,-2.9996864796,3.427426815
72.4271421432,-2.9997155666,3.4252188206
73.4261994362,-2.9997131824,3.4230282307
74.4262566566,-2.9996972084,3.4208414555
75.4263138771,-2.9996936321,3.4187068939
76.4263710976,-2.9996886253,3.4165773392
77.426428318,-2.9997131824,3.414473772
78.4264855385,-2.9997029305,3.4123883247
79.4265427589,-2.9997045994,3.4103181362
80.4265999794,-2.9997081757,3.408280611
81.4266571999,-2.9997193813,3.4062614441
82.4267144203,-2.9997031689,3.4042372704
83.4267716408,-2.9997074604,3.4022605419
84.4268283844,-2.9996926785,3.400277853
85.4268856049,-2.9996862411,3.3983345032
86.4269428253,-2.9997124672,3.3964006901
87.4270000458,-2.9996986389,3.3944814205
88.4270572662,-2.9997251034,3.392598629
89.4271144867,-2.9997165203,3.3907272816
90.4261717796,-2.9997014999,3.3888883591
91.4262290001,-2.9997122288,3.3870372772
92.4262862206,-2.9997098446,3.3852283955
93.426343441,-2.9997045994,3.3834006786
94.4264006615,-2.9997098446,3.3816080093
95.4264578819,-2.9997160435,3.3798186779
96.4265151024,-2.9997138977,3.3780655861
97.4265723228,-2.9997286797,3.3763132095
98.4266295433,-2.9997048378,3.3745985031
99.4266867638,-2.9997115135,3.3728847504
100.4267439842,-2.9997029305,3.3711824417
101.4268012047,-2.9996950626,3.3695113659
102.4268584251,-2.9997029305,3.3678307533
103.4269156456,-2.9997014999,3.3661749363
104.4269723892,-2.9996979237,3.3645517826
105.4270296097,-2.9996981621,3.3629045486
106.4270868301,-2.9997172356,3.3612918854
107.4271440506,-2.9997179508,3.3596909046
108.4262013435,-2.999702692,3.3581211567
109.426258564,-2.9997014999,3.3565323353
110.4263157845,-2.9997105598,3.3549678326
111.4263730049,-2.9997055531,3.3534195423
112.4264302254,-2.9997067451,3.3518714905
113.4264874458,-2.9997000694,3.35034585
114.4265446663,-2.9997208118,3.3488287926
115.4266018867,-2.9997019768,3.3473443985
116.4266591072,-2.9997103214,3.345852375
117.4267163277,-2.9997200966,3.3443858624
118.4267735481,-2.9997076988,3.3429067135
119.4268307686,-2.9997160435,3.3414616585
120.426887989,-2.9997069836,3.3400101662
121.4269452095,-2.9997057915,3.3385753632
122.42700243,-2.9997031689,3.337168932
123.4270591736,-2.9997143745,3.3357539177
124.427116394,-2.9997115135,3.3343653679
125.426173687,-2.9997105598,3.3329896927
126.4262304306,-2.9997186661,3.3316049576
127.4262881279,-2.9997081757,3.3302428722
128.4263448715,-2.9997160435,3.3288841248
129.4264025688,-2.9997160435,3.3275561333
130.4264593124,-2.9997057915,3.3262257576
131.4265170097,-2.9997060299,3.3249034882
132.4265737534,-2.9996972084,3.3235604763
133.4266314507,-2.9997019768,3.3222682476
134.4266881943,-2.9997191429,3.32097435
135.4267458916,-2.9996964931,3.3196892738
136.4268026352,-2.9997220039,3.3184072971
137.4268603325,-2.9997167587,3.3171310425
138.4269170761,-2.9997014999,3.315901041
139.4269747734,-2.999712944,3.3146436214
140.427031517,-2.999704361,3.3134133816
141.4270892143,-2.9997210503,3.3121862411
142.4271459579,-2.9997007847,3.3109600544
143.4262032509,-2.9997136593,3.3097527027
144.4262599945,-2.9996871948,3.3085644245
145.4263176918,-2.9997022152,3.3073611259
146.4263744354,-2.9997239113,3.3061797619
147.4264321327,-2.9997193813,3.3050069809
148.4264888763,-2.9997212887,3.303830862
149.4265465736,-2.9997041225,3.3026866913
150.4266033173,-2.9997019768,3.301538229
151.4266610146,-2.9997324944,3.3003811836
152.4267177582,-2.9997208118,3.2992646694
153.4267754555,-2.999714613,3.2981228828
154.4268321991,-2.9997236729,3.2969899178
155.4268898964,-2.9997153282,3.2958881855
156.42694664,-2.9997215271,3.2947888374
157.4270043373,-2.999704361,3.2936868668
158.4270610809,-2.999707222,3.2926032543
159.4271187782,-2.9997057915,3.2915067673
160.4261755943,-2.9997193813,3.2904508114
161.4262328148,-2.9997117519,3.2893915176
162.4262900352,-2.9997138977,3.2883265018
163.4263467789,-2.9997153282,3.287273407
164.4264039993,-2.9997105598,3.2862155437
165.4264612198,-2.9997012615,3.2851889133
166.4265184402,-2.9997246265,3.2841389179
167.4265756607,-2.999724865,3.2831296921
168.4266328812,-2.9997165203,3.282109499
169.4266901016,-2.9997241497,3.2810733318
170.4267473221,-2.9996957779,3.2800834179
171.4268045425,-2.9997377396,3.2790617943
172.426861763,-2.9997286797,3.278097868
173.4269189835,-2.999735117,3.2771077156
174.4269762039,-2.9997234344,3.2761161327
175.4270334244,-2.9997160435,3.2751429081
176.4270906448,-2.9997091293,3.2741661072
177.4271478653,-2.9997208118,3.2732100487
178.4262051582,-2.9997346401,3.2722570896
179.4262623787,-2.9997160435,3.2713215351
180.4263195992,-2.9997141361,3.2703640461
181.4263768196,-2.9997220039,3.2694010735
182.4264340401,-2.999733448,3.2684836388
183.4264907837,-2.9997105598,3.2675406933
184.4265480042,-2.9996864796,3.2666237354
185.4266052246,-2.9997124672,3.2656924725
186.4266624451,-2.9997246265,3.2647635937
187.4267196655,-2.9997301102,3.2638640404
188.426776886,-2.999707222,3.2629609108
189.4268341064,-2.9997165203,3.2620470524
190.4268913269,-2.9997050762,3.2611680031
191.4269485474,-2.9996988773,3.2602741718
192.4270057678,-2.9997155666,3.2593832016
193.4270629883,-2.9997222424,3.2585093975
194.4271202087,-2.9997060299,3.2576296329
195.4261775017,-2.9997196198,3.2567591667
196.4262347221,-2.9997084141,3.2558717728
197.4262919426,-2.9997344017,3.2550103664
198.4263491631,-2.9997177124,3.2541594505
199.4264063835,-2.999702692,3.2533171177
200.426463604,-2.9997169971,3.2524645329
201.4265208244,-2.9997224808,3.2516160011
202.4265780449,-2.9997241497,3.2507781982
203.4266347885,-2.999723196,3.2499353886
204.426692009,-2.9997110367,3.2490961552
205.4267492294,-2.9997372627,3.2482645512
206.4268064499,-2.999730587,3.2474620342
207.4268636703,-2.9997131824,3.2466225624
208.4269208908,-2.9997270107,3.2458350658
209.4269781113,-2.9997415543,3.2449979782
210.4270353317,-2.9997191429,3.2441940308
211.4270925522,-2.9997017384,3.2433874607
212.4271497726,-2.9997136593,3.2425556183
213.4262070656,-2.9997324944,3.2417581081
214.426264286,-2.9997158051,3.2409651279
215.4263215065,-2.9997138977,3.2401759624
216.426378727,-2.9997193813,3.2393841743
217.4264359474,-2.999724865,3.2386085987
218.4264931679,-2.9997227192,3.2377815247
219.4265503883,-2.9997205734,3.2370181084
220.4266076088,-2.999723196,3.2362780571
221.4266648293,-2.9997215271,3.2354924679
222.4267215729,-2.9997179508,3.2347142696
223.4267787933,-2.9997179508,3.2339453697
224.4268360138,-2.999724865,3.233191967
225.4268932343,-2.9997260571,3.2324140072
226.4269504547,-2.9997086525,3.2316551208
227.4270076752,-2.9997196198,3.2308743
228.4270648956,-2.9997127056,3.2301340103
229.4271221161,-2.9997074604,3.2293744087
230.426179409,-2.999733448,3.2286500931
231.4262366295,-2.9997158051,3.2278895378
232.4262938499,-2.9997022152,3.2271289825
233.4263510704,-2.9997184277,3.2263851166
234.4264082909,-2.9997096062,3.2256755829
235.4264655113,-2.9997005463,3.224930048
236.4265227318,-2.9997205734,3.2242023945
237.4265799522,-2.9996976852,3.2234783173
238.4266371727,-2.9997088909,3.2227647305
239.4266943932,-2.9997031689,3.2220234871
240.4267516136,-2.9997091293,3.2212996483
241.4268088341,-2.999707222,3.2205924988
242.4268655777,-2.9997034073,3.2198653221
243.4269227982,-2.9997344017,3.2191522121
244.4269800186,-2.9997291565,3.2184467316
245.4270372391,-2.9997179508,3.2177193165
246.4270944595,-2.9997124672,3.2170135975
247.42715168,-2.9997177124,3.2163102627
248.4262089729,-2.9997022152,3.2155942917
249.4262657166,-2.9997150898,3.2148959637
250.4263234138,-2.9997239113,3.2141764164
251.4263801575,-2.9997255802,3.2135026455
252.4264378548,-2.9997141361,3.2127997875
253.4264945984,-2.9997062683,3.2121067047
254.4265522957,-2.9997050762,3.2114317417
255.4266090393,-2.9997191429,3.2107298374
256.4266667366,-2.9997205734,3.210034132
257.4267234802,-2.9997084141,3.2093408108
258.4267811775,-2.9997296333,3.2086575031
259.4268379211,-2.9997060299,3.2079846859
260.4268956184,-2.9997303486,3.2072923183
261.4269523621,-2.9997222424,3.2066195011
262.4270095825,-2.9997260571,3.2059669495
263.427066803,-2.9997348785,3.2052638531
264.4271240234,-2.9997208118,3.2046101093
265.4261808395,-2.9997220039,3.2039222717
266.4262385368,-2.9997410774,3.2032604218
267.4262952805,-2.9997191429,3.2026133537
268.4263529778,-2.999723196,3.201944828
269.4264097214,-2.999707222,3.2012760639
270.4264674187,-2.9997177124,3.2006177902
271.4265241623,-2.9997205734,3.1999559402
272.4265818596,-2.9997251034,3.1993062496
273.4266386032,-2.9997055531,3.1986498833
274.4266963005,-2.9997355938,3.1980059147
275.4267530441,-2.9997169971,3.1973564625
276.4268107414,-2.9997124672,3.1966958046
277.426867485,-2.9997346401,3.1960365772
278.4269251823,-2.9996979237,3.1953895092
279.426981926,-2.9997236729,3.1947321892
280.4270396233,-2.9997322559,3.1940948963
281.4270963669,-2.9997117519,3.1934719086
282.4271535873,-2.9997270107,3.1927986145
283.4262104034,-2.9997239113,3.1921718121
284.4262676239,-2.9997239113,3.1915330887
285.4263248444,-2.9997169971,3.1908884048
286.4263820648,-2.9997527599,3.190251112
287.4264392853,-2.9997215271,3.1896150112
288.4264965057,-2.999710083,3.1889789104
289.4265537262,-2.9997246265,3.188338995
290.4266109467,-2.9997181892,3.1877279282
291.4266681671,-2.9997262955,3.1870763302
292.4267253876,-2.9997103214,3.1864249706
293.426782608,-2.9997177124,3.1858119965
294.4268398285,-2.9997274876,3.1851871014
295.426897049,-2.9997191429,3.1845846176
296.4269542694,-2.9997246265,3.1839289665
297.4270114899,-2.9997191429,3.183334589
298.4270687103,-2.9997067451,3.1826934814
299.4271259308,-2.9997122288,3.1820757389
300.4261832237,-2.9997236729,3.1814813614
301.4262404442,-2.9997115135,3.1808512211
302.4262971878,-2.9997186661,3.1802201271
303.4263544083,-2.9997215271,3.1796116829
304.4264116287,-2.9997050762,3.1790027618
305.4264688492,-2.9997098446,3.1783845425
306.4265260696,-2.9997310638,3.1777608395
307.4265832901,-2.9997069836,3.1771509647
308.4266405106,-2.9997246265,3.1765413284
309.426697731,-2.9997310638,3.1759440899
310.4267549515,-2.9997103214,3.1753218174
311.4268121719,-2.9997179508,3.17471385
312.4268693924,-2.9997179508,3.1741139889
313.4269266129,-2.999723196,3.1734890938
314.4269838333,-2.9997220039,3.1729063988
315.4270410538,-2.9997205734,3.1723132133
316.4270982742,-2.9997251034,3.1716985703
317.4271554947,-2.9997479916,3.1710877419
318.4262127876,-2.9997293949,3.1704981327
319.4262700081,-2.999724865,3.1698873043
320.4263272285,-2.9997289181,3.1692965031
321.4263839722,-2.9997208118,3.1686723232
322.4264411926,-2.9997386932,3.168099165
323.4264984131,-2.9997267723,3.1674895287
324.4265556335,-2.9997279644,3.1669039726
325.426612854,-2.9997253418,3.1663107872
326.4266700745,-2.9997320175,3.1657357216
327.4267272949,-2.9997320175,3.1651351452
328.4267845154,-2.9997096062,3.1645505428
329.4268417358,-2.9997389317,3.1639487743
330.4268989563,-2.9997282028,3.1633751392
331.4269561768,-2.9997241497,3.1627929211
332.4270133972,-2.9997475147,3.1621806622
333.4270706177,-2.9997377396,3.1616210938
334.4271278381,-2.9997398853,3.1610193253
335.4261851311,-2.999735117,3.1604423523
336.4262423515,-2.9997415543,3.1598525047
337.426299572,-2.9997322559,3.1592810154
338.4263567924,-2.9997496605,3.1586928368
339.4264140129,-2.9997155666,3.1581146717
340.4264712334,-2.9997341633,3.1575496197
341.426527977,-2.9997253418,3.1569561958
342.4265851974,-2.999727726,3.1563653946
343.4266424179,-2.9997401237,3.1557812691
344.4266996384,-2.9997401237,3.1552159786
345.4267568588,-2.9997186661,3.154624939
346.4268140793,-2.9997370243,3.1540570259
347.4268712997,-2.9997274876,3.1534934044
348.4269285202,-2.9997239113,3.1529183388
349.4269857407,-2.9997241497,3.1523604393
350.4270429611,-2.999724865,3.1517817974
351.4271001816,-2.9997541904,3.1512115002
352.4261574745,-2.9997375011,3.1506323814
353.426214695,-2.9997382164,3.1500384808
354.4262719154,-2.9997413158,3.1494727135
355.4263291359,-2.9997370243,3.1489241123
356.4263863564,-2.9997508526,3.1483108997
357.4264435768,-2.9997551441,3.1477491856
358.4265007973,-2.9997413158,3.1471939087
359.4265580177,-2.999751091,3.1466264725
360.4266152382,-2.9997389317,3.1460599899
361.4266719818,-2.9997322559,3.1455159187
362.4267292023,-2.9997553825,3.1449375153
363.4267864227,-2.9997355938,3.1443824768
364.4268436432,-2.9997382164,3.1437838078
365.4269008636,-2.9997413158,3.143225193
366.4269580841,-2.9997441769,3.1426489353
367.4270153046,-2.9997529984,3.1420893669
368.427072525,-2.9997377396,3.1415405273
369.4271297455,-2.9997172356,3.1409678459
370.4261865616,-2.9997494221,3.1404032707
371.4262442589,-2.9997360706,3.1398510933
372.4263010025,-2.9997460842,3.1392953396
373.4263586998,-2.9997432232,3.1387286186
374.4264154434,-2.9997196198,3.138171196
375.4264731407,-2.9997282028,3.1376049519
376.4265298843,-2.9997484684,3.1370561123
377.4265875816,-2.9997437,3.1364920139
378.4266443253,-2.9997344017,3.1359317303
