Time (s),Current (A),Voltage(V)
0.4250240326,-2.9996552467,3.8493897915
1.4250812531,-2.9996621609,3.8223552704
2.4251384735,-2.9996581078,3.8088669777
3.425195694,-2.9996473789,3.7988181114
4.4252529144,-2.9996812344,3.7904860973
5.4253101349,-2.999694109,3.7831850052
6.4253673553,-2.9997069836,3.7766051292
7.4254245758,-2.9996962547,3.770567894
8.4254817963,-2.9996857643,3.764934063
9.4255390167,-2.9997115135,3.7596507072
10.4245958328,-2.9996991158,3.7546555996
11.4246530533,-2.9997184277,3.749876976
12.4247102737,-2.999723196,3.7453615665
13.4247674942,-2.9997117519,3.7410037518
14.4248247147,-2.9997196198,3.7368636131
15.4248819351,-2.9997215271,3.7328829765
16.4249391556,-2.9997110367,3.7290129662
17.424996376,-2.999730587,3.7253081799
18.4250535965,-2.9997179508,3.7217357159
19.425110817,-2.9997181892,3.7182633877
20.4251680374,-2.9997310638,3.7148752213
21.4252252579,-2.9997420311,3.7116000652
22.4252824783,-2.9997191429,3.7084310055
23.4253396988,-2.9997260571,3.705337286
24.4253969193,-2.9997136593,3.7023096085
25.4254541397,-2.9997360706,3.6993451118
26.4255113602,-2.999730587,3.6964643002
27.4255685806,-2.9997324944,3.6936440468
28.4246253967,-2.9997332096,3.6908800602
29.4246826172,-2.9997456074,3.6881358624
30.4247398376,-2.9997160435,3.6854918003
31.4247970581,-2.9997398853,3.6828622818
32.4248542786,-2.9997303486,3.6802971363
33.424911499,-2.9997501373,3.6777360439
34.4249687195,-2.9997513294,3.6752762794
35.4250259399,-2.9997251034,3.6728000641
36.4250831604,-2.9997355938,3.6703872681
37.4251403809,-2.9997479916,3.6680104733
38.4251976013,-2.9997391701,3.6656429768
39.4252548218,-2.9997425079,3.6633119583
40.4253120422,-2.9997200966,3.6610429287
41.4253692627,-2.9997282028,3.6587991714
42.4254264832,-2.9997403622,3.6565599442
43.4254837036,-2.9997279644,3.6543698311
44.4255409241,-2.9997315407,3.6521849632
45.424598217,-2.9997191429,3.6500482559
46.4246549606,-2.9997267723,3.6479537487
47.4247121811,-2.9997196198,3.6458554268
48.4247694016,-2.9997215271,3.6438081264
49.424826622,-2.9997115135,3.6417777538
50.4248838425,-2.9997320175,3.6397631168
51.4249410629,-2.9997372627,3.637783289
52.4249982834,-2.9997153282,3.6358370781
53.4250555038,-2.9997236729,3.6339054108
54.4251127243,-2.9997332096,3.6320011616
55.4251699448,-2.9997301102,3.6301317215
56.4252271652,-2.999727726,3.6282820702
57.4252843857,-2.9997425079,3.6264593601
58.4253416061,-2.9997236729,3.6246435642
59.4253988266,-2.9997167587,3.6228685379
60.4254560471,-2.9997246265,3.6211206913
61.4255132675,-2.9997289181,3.6193900108
62.425570488,-2.9997000694,3.6176838875
63.4246277809,-2.9997239113,3.6159944534
64.4246850014,-2.9997420311,3.614333868
65.4247422218,-2.9997470379,3.6126964092
66.4247989655,-2.9997127056,3.6110701561
67.4248561859,-2.9996981621,3.6094808578
68.4249134064,-2.9997169971,3.60790205
69.4249706268,-2.999727726,3.6063520908
70.4250278473,-2.9997048378,3.6048223972
71.4250850677,-2.9997193813,3.6033141613
72.4251422882,-2.9997115135,3.6018326283
73.4251995087,-2.9997239113,3.6003658772
74.4252567291,-2.9997167587,3.5989053249
75.4253139496,-2.9997320175,3.5974793434
76.42537117,-2.9997143745,3.596060276
77.4254283905,-2.9997208118,3.5946712494
78.425485611,-2.9997220039,3.5932934284
79.4255428314,-2.9997141361,3.5919268131
80.4246001244,-2.9997344017,3.5905768871
81.424656868,-2.999724865,3.5892314911
82.4247145653,-2.9997215271,3.5879251957
83.4247713089,-2.9997205734,3.5866353512
84.4248290062,-2.9997270107,3.5853383541
85.4248857498,-2.9997172356,3.5840582848
86.4249429703,-2.9997348785,3.5827994347
87.4250001907,-2.9997251034,3.5815665722
88.4250574112,-2.9997274876,3.5803260803
89.4251141548,-2.9997186661,3.5790975094
90.4251718521,-2.9997255802,3.5779013634
91.4252285957,-2.9997251034,3.576700449
92.425286293,-2.9997293949,3.5755124092
93.4253430367,-2.9997184277,3.574347496
94.4254007339,-2.9997127056,3.5731770992
95.4254574776,-2.9997406006,3.5720350742
96.4255151749,-2.9997456074,3.5708906651
97.4255719185,-2.999755621,3.5697569847
98.4246292114,-2.9997491837,3.5686392784
99.4246864319,-2.9997360706,3.5675346851
100.4247436523,-2.9997441769,3.5664381981
101.4248008728,-2.9997515678,3.5653390884
102.4248580933,-2.9997563362,3.5642602444
103.4249153137,-2.9997470379,3.5631916523
104.4249725342,-2.9997286797,3.5621304512
105.4250297546,-2.9997437,3.5610747337
106.4250869751,-2.9997515678,3.5600244999
107.4251441956,-2.9997432232,3.559006691
108.425201416,-2.9997375011,3.5579614639
109.4252581596,-2.9997377396,3.5569486618
110.4253153801,-2.9997470379,3.5559015274
111.4253726006,-2.9997401237,3.5548911095
112.425429821,-2.9997467995,3.5538887978
113.4254870415,-2.9997608662,3.5528893471
114.4255442619,-2.9997575283,3.5518887043
115.4246015549,-2.999745369,3.5509102345
