Time (s),Current (A),Voltage(V)
0.4250245094,-2.9995663166,3.7967922688
1.4250817299,-2.9995815754,3.7577233315
2.4251389503,-2.9996378422,3.7393198013
3.4251961708,-2.9996304512,3.7258453369
4.4252529144,-2.9996440411,3.7148406506
5.4253101349,-2.9996562004,3.7053408623
6.4253673553,-2.9996745586,3.6968512535
7.4254245758,-2.9996886253,3.6891229153
8.4254817963,-2.999669075,3.6819777489
9.4245390892,-2.9996881485,3.6753046513
10.4245963097,-2.9996905327,3.6690251827
11.4246535301,-2.9996788502,3.6630811691
12.4247107506,-2.999689579,3.6574497223
13.424767971,-2.9996721745,3.6520702839
14.4248251915,-2.9996995926,3.646907568
15.424882412,-2.9996843338,3.6419258118
16.4249396324,-2.9996774197,3.6371328831
17.4249968529,-2.9996936321,3.6325144768
18.4250540733,-2.9997057915,3.6280286312
19.4251112938,-2.9996988773,3.6237049103
20.4251685143,-2.9996814728,3.6194796562
21.4252257347,-2.999704361,3.6153571606
22.4252829552,-2.9996919632,3.6113522053
23.4253401756,-2.9996783733,3.6074473858
24.4253969193,-2.99969244,3.6036190987
25.4254541397,-2.99969244,3.5998680592
26.4245109558,-2.999704361,3.596214056
27.4245686531,-2.9996991158,3.5926237106
28.4246253967,-2.9996886253,3.5891096592
29.424683094,-2.9996743202,3.5856616497
30.4247398376,-2.9996905327,3.5822577477
31.4247975349,-2.9996707439,3.5789179802
32.4248542786,-2.9997048378,3.5756556988
33.4249119759,-2.9996814728,3.5724358559
34.4249687195,-2.9997005463,3.5692417622
35.4250264168,-2.9996881485,3.5661354065
36.4250831604,-2.9997074604,3.5630536079
37.4251408577,-2.9996953011,3.5600435734
38.4251976013,-2.9996826649,3.5570540428
39.4252552986,-2.9996931553,3.5541262627
40.4253120422,-2.9996845722,3.551248312
41.4253697395,-2.999673605,3.5483903885
42.4254264832,-2.9996886253,3.5455715656
43.4254837036,-2.9997003078,3.5428068638
44.4245405197,-2.9996933937,3.540096283
45.424598217,-2.9996879101,3.5373852253
46.4246549606,-2.9996910095,3.5347299576
47.4247126579,-2.9996705055,3.5321209431
48.4247694016,-2.9996647835,3.5295464993
49.4248270988,-2.9996886253,3.5270049572
50.4248838425,-2.9996931553,3.5244889259
51.4249415398,-2.9996883869,3.5220086575
52.4249982834,-2.99969244,3.5195596218
53.4250559807,-2.9996912479,3.5171554089
54.4251127243,-2.999658823,3.5147459507
55.4251704216,-2.9997034073,3.5123903751
56.4252271652,-2.9997050762,3.5100483894
57.4252848625,-2.9996976852,3.5077593327
58.4253416061,-2.9997131824,3.5054812431
59.4253993034,-2.9996664524,3.5032293797
60.4254560471,-2.9996938705,3.5010156631
61.42451334,-2.9996776581,3.4988191128
62.4245705605,-2.9997017384,3.496638298
63.4246273041,-2.9996891022,3.4944884777
64.4246845245,-2.9996790886,3.4923551083
65.424741745,-2.9996774197,3.4902739525
66.4247989655,-2.9996814728,3.4881877899
67.4248561859,-2.9996883869,3.4861166477
68.4249134064,-2.9996967316,3.4840857983
69.4249706268,-2.9997007847,3.482074976
70.4250278473,-2.9996850491,3.4800887108
71.4250850677,-2.9996726513,3.4781293869
72.4251422882,-2.9996862411,3.4761655331
73.4251995087,-2.9996886253,3.4742321968
74.4252567291,-2.999661684,3.4723188877
75.4253139496,-2.9997005463,3.4704194069
76.42537117,-2.9996798038,3.4685540199
77.4254283905,-2.9996993542,3.4667057991
78.425485611,-2.999689579,3.4648797512
79.4245429039,-2.9997084141,3.4630656242
80.4246001244,-2.9996886253,3.4612481594
81.4246573448,-2.9996917248,3.4594581127
82.4247145653,-2.9996869564,3.4576940536
83.4247713089,-2.9996857643,3.4559297562
84.4248285294,-2.9996809959,3.4541926384
85.4248857498,-2.999669075,3.4524703026
86.4249429703,-2.9996767044,3.4507777691
87.4250001907,-2.9996800423,3.4490764141
88.4250574112,-2.999689579,3.4474129677
89.4251146317,-2.9996886253,3.4457466602
90.4251718521,-2.9996988773,3.4440891743
91.4252290726,-2.9996886253,3.4424755573
92.425286293,-2.9996712208,3.4408643246
93.4253435135,-2.999682188,3.4392559528
94.4254007339,-2.9996850491,3.4376573563
95.4254579544,-2.9996900558,3.4360809326
96.4245152473,-2.9996790886,3.4345209599
97.4245724678,-2.9997165203,3.4329788685
98.4246296883,-2.9996893406,3.4314446449
99.4246869087,-2.999702692,3.429908514
100.4247441292,-2.999666214,3.4283788204
101.4248013496,-2.9996900558,3.4269015789
102.4248585701,-2.9997060299,3.4253988266
103.4249153137,-2.9996960163,3.4239127636
104.4249725342,-2.9996883869,3.4224467278
105.4250297546,-2.9996886253,3.420996666
106.4250869751,-2.999702692,3.4195451736
107.4251441956,-2.9997005463,3.4180936813
108.425201416,-2.9996857643,3.4166772366
109.4252586365,-2.9997050762,3.4152526855
110.4253158569,-2.999683857,3.4138476849
111.4253730774,-2.9996812344,3.4124441147
112.4254302979,-2.9996972084,3.4110827446
113.4254875183,-2.999710083,3.409702301
114.4245448112,-2.999702692,3.4083321095
115.4246020317,-2.9997045994,3.406989336
116.4246592522,-2.9997005463,3.4056363106
117.4247164726,-2.9997355938,3.404280901
118.4247736931,-2.9997091293,3.4029588699
119.4248309135,-2.9996919632,3.4016540051
