Time (s),Current (A),Voltage(V)
0.4240236282,-2.9995675087,3.8152348995
1.4240808487,-2.9995706081,3.7802228928
2.4241380692,-2.9996008873,3.7635753155
3.4241952896,-2.9996194839,3.7513775826
4.4242525101,-2.9996237755,3.7413861752
5.4243097305,-2.9996626377,3.7326745987
6.424366951,-2.9996688366,3.7249054909
7.4244241714,-2.9996845722,3.7178077698
8.4244813919,-2.9996786118,3.7112154961
9.4245386124,-2.9996812344,3.7050640583
10.4245958328,-2.9996755123,3.6992607117
11.4246530533,-2.9996759892,3.6937584877
12.4247102737,-2.9996631145,3.688526392
13.4247674942,-2.9996757507,3.6835432053
14.4248247147,-2.9996945858,3.6787385941
15.4248819351,-2.999682188,3.6741483212
16.4249391556,-2.999686718,3.6697080135
17.4239964485,-2.9996936321,3.665450573
18.424053669,-2.9996950626,3.6613268852
19.4241104126,-2.9996933937,3.657307148
20.4241676331,-2.9996960163,3.6534059048
21.4242248535,-2.9997067451,3.6496295929
22.424282074,-2.9996960163,3.6459496021
23.4243392944,-2.9996852875,3.642364502
24.4243965149,-2.9997031689,3.638869524
25.4244537354,-2.9997069836,3.6354305744
26.4245109558,-2.9996953011,3.6320970058
27.4245681763,-2.9996938705,3.6288485527
28.4246253967,-2.9997220039,3.6256146431
29.4246826172,-2.9997198582,3.6224792004
30.4247398376,-2.9997048378,3.6193835735
31.4247970581,-2.9997115135,3.6163618565
32.4248542786,-2.9997048378,3.6133899689
33.424911499,-2.9997081757,3.6104803085
34.4249687195,-2.9996931553,3.6076009274
35.4240260124,-2.9996898174,3.6047794819
36.4240832329,-2.9997048378,3.601993084
37.4241404533,-2.999702692,3.5992588997
38.4241976738,-2.9997055531,3.5965538025
39.4242544174,-2.9997084141,3.5939180851
40.4243116379,-2.9997003078,3.5912919044
41.4243688583,-2.9996995926,3.5887312889
42.4244260788,-2.9997115135,3.5862035751
43.4244832993,-2.9997048378,3.5836999416
44.4245405197,-2.9996919632,3.5812444687
