Time (s),Current (A),Voltage(V)
0.4250240326,-2.999581337,3.7996549606
1.4250807762,-2.9995572567,3.7613155842
2.4251384735,-2.999604702,3.7432317734
3.4251952171,-2.9996221066,3.729984045
4.4252529144,-2.9996345043,3.7191724777
5.4253096581,-2.9996592999,3.709808588
6.4253673553,-2.9996564388,3.7014660835
7.425424099,-2.9996702671,3.6938841343
8.4254817963,-2.999648571,3.6868703365
9.4255385399,-2.9996716976,3.6802821159
10.4255962372,-2.9996728897,3.674125433
11.4256529808,-2.9996726513,3.6683075428
12.4257106781,-2.9996418953,3.662763834
13.4247674942,-2.9996783733,3.657484293
14.4248247147,-2.9996800423,3.6524033546
15.4248819351,-2.9996755123,3.647554636
16.4249391556,-2.9996702671,3.6428525448
17.424996376,-2.9996964931,3.6383242607
18.4250535965,-2.999689579,3.6339473724
19.425110817,-2.9996993542,3.6297249794
20.4251675606,-2.9997086525,3.6255674362
21.425224781,-2.9997084141,3.6215412617
22.4252820015,-2.9997048378,3.6176469326
23.425339222,-2.9996948242,3.6138162613
24.4253964424,-2.9996991158,3.6100997925
25.4254536629,-2.9997031689,3.6064562798
26.4255108833,-2.9996781349,3.6028916836
27.4255681038,-2.9997069836,3.5993862152
28.4256253242,-2.9997012615,3.5959556103
29.4256825447,-2.9996795654,3.5925750732
30.4257397652,-2.999702692,3.5892832279
31.4247970581,-2.9996869564,3.5860307217
32.4248542786,-2.9997198582,3.5828480721
33.424911499,-2.9996967316,3.5797042847
34.4249687195,-2.9997091293,3.5766289234
35.4250259399,-2.9996953011,3.5735890865
36.4250831604,-2.999694109,3.570595026
37.4251403809,-2.9996824265,3.5676538944
38.4251976013,-2.9996862411,3.564738512
39.4252548218,-2.9996898174,3.5618898869
40.4253115654,-2.9996981621,3.5590729713
41.4253687859,-2.999694109,3.5563011169
42.4254260063,-2.9997029305,3.5535595417
43.4254832268,-2.9996826649,3.5508711338
44.4255404472,-2.9996907711,3.5482091904
45.4255976677,-2.9996917248,3.5456190109
46.4256548882,-2.9996781349,3.5430221558
47.4257121086,-2.9996807575,3.5404696465
48.4247694016,-2.9996938705,3.5379548073
49.424826622,-2.9996862411,3.5354752541
50.4248838425,-2.9997005463,3.5330359936
51.4249410629,-2.9996721745,3.5306181908
52.4249982834,-2.9997041225,3.5282301903
53.4250555038,-2.9996883869,3.5258851051
54.4251127243,-2.9996974468,3.5235466957
55.4251699448,-2.9997029305,3.5212228298
56.4252271652,-2.9997057915,3.5189676285
57.4252843857,-2.999707222,3.5167183876
58.4253416061,-2.9996991158,3.5145237446
59.4253988266,-2.9996900558,3.5123064518
60.4254555702,-2.9996762276,3.5101597309
61.4255127907,-2.9996728897,3.5080194473
62.4255700111,-2.999694109,3.5059235096
63.4256272316,-2.9997143745,3.503816843
64.4256844521,-2.9996845722,3.5017728806
65.4257416725,-2.99969244,3.4997189045
66.4247989655,-2.9997112751,3.4977030754
67.4248561859,-2.9997091293,3.4957120419
