Time (s),Current (A),Voltage(V)
0.4240245819,-2.9995660782,3.7845647335
1.4240813255,-2.9995787144,3.7425148487
2.4241390228,-2.9996049404,3.7227189541
3.4241957664,-2.9996173382,3.708204031
4.4242534637,-2.9996254444,3.6963429451
5.4243102074,-2.9996387959,3.6861047745
6.4243679047,-2.9996306896,3.6769912243
7.4244246483,-2.99964571,3.6687164307
8.4244818687,-2.9996550083,3.6610701084
9.4245390892,-2.9996638298,3.6539623737
10.4245963097,-2.9996826649,3.6472709179
11.4246535301,-2.9996671677,3.6409320831
12.4247107506,-2.9996774197,3.6348903179
13.4237675667,-2.999658823,3.6291503906
14.4238247871,-2.9996564388,3.6236248016
15.4238820076,-2.9996707439,3.6183085442
16.4239392281,-2.9996509552,3.6131980419
17.4239964485,-2.9996771812,3.6082279682
18.424053669,-2.9996869564,3.6034379005
19.4241108894,-2.9996767044,3.5987620354
20.4241681099,-2.9996740818,3.5941903591
21.4242253304,-2.9996776581,3.5897884369
22.4242825508,-2.9996871948,3.5854721069
23.4243397713,-2.9996721745,3.5812349319
24.4243969917,-2.9997124672,3.5771124363
25.4244542122,-2.9996795654,3.5730557442
26.4245114326,-2.9996747971,3.5690889359
27.4245686531,-2.9996852875,3.5652015209
28.4246258736,-2.9997105598,3.561372757
29.424683094,-2.9996976852,3.5576300621
30.4247403145,-2.9997241497,3.5539455414
31.4237971306,-2.9997141361,3.5503368378
32.423854351,-2.9996862411,3.5467729568
33.4239115715,-2.9996938705,3.5432806015
34.423968792,-2.9997122288,3.5398249626
35.4240260124,-2.9996826649,3.536450386
36.4240832329,-2.9996862411,3.5330994129
37.4241404533,-2.9997122288,3.5298073292
38.4241976738,-2.9996993542,3.5265700817
39.4242548943,-2.9996871948,3.523368597
40.4243121147,-2.9996824265,3.5202353001
41.4243693352,-2.9996912479,3.5171217918
42.4244265556,-2.9996607304,3.5140657425
43.4244837761,-2.9996783733,3.511046648
44.4245409966,-2.9996671677,3.5080986023
45.424598217,-2.9996747971,3.5051369667
46.4246554375,-2.9996795654,3.5022439957
47.4247126579,-2.9996581078,3.4993746281
48.423769474,-2.9996864796,3.4965732098
49.4238266945,-2.9996674061,3.4937663078
50.4238839149,-2.9996800423,3.4910268784
51.4239411354,-2.9996790886,3.4883055687
52.4239983559,-2.9996712208,3.4856333733
53.4240555763,-2.999694109,3.4829747677
54.4241127968,-2.9996852875,3.4803574085
55.4241700172,-2.9996957779,3.4777731895
56.4242272377,-2.9997041225,3.4752101898
57.4242844582,-2.9996864796,3.4726653099
58.4243416786,-2.9997076988,3.4701724052
59.4243988991,-2.9996962547,3.4677209854
60.4244561195,-2.9997074604,3.4652457237
61.42451334,-2.9996879101,3.4628367424
62.4245705605,-2.9996993542,3.4604392052
63.4246277809,-2.9996693134,3.4580848217
64.4246850014,-2.9996931553,3.4557497501
65.4247422218,-2.9996826649,3.4534361362
66.4237995148,-2.9996831417,3.4511470795
67.4238567352,-2.9996876717,3.4488825798
68.4239134789,-2.9996883869,3.446644783
69.4239706993,-2.9996721745,3.4444224834
70.4240279198,-2.9996886253,3.4422383308
71.4240851402,-2.9997138977,3.4400668144
72.4241423607,-2.9996757507,3.4379076958
73.4241995811,-2.9996862411,3.4357881546
74.4242568016,-2.9996871948,3.4336721897
75.4243140221,-2.9996840954,3.4315950871
76.4243712425,-2.9996957779,3.4295282364
77.424428463,-2.9996905327,3.4274642467
78.4244856834,-2.9997153282,3.425447464
79.4245429039,-2.9997074604,3.4234297276
80.4246001244,-2.9997265339,3.4214553833
81.4246573448,-2.9996869564,3.4195125103
82.4247145653,-2.999702692,3.4175477028
