Time (s),Current (A),Voltage(V)
0.4320249557,-2.999601841,3.8391251564
1.4320821762,-2.9995968342,3.8088698387
2.4321393967,-2.9996283054,3.7941887379
3.4321966171,-2.9996268749,3.7833721638
4.4322538376,-2.9996566772,3.7744348049
5.432311058,-2.9996681213,3.7666766644
6.4323682785,-2.9996831417,3.7597014904
7.4324250221,-2.9996829033,3.7533111572
8.4324822426,-2.9996864796,3.7473819256
9.432539463,-2.9996869564,3.7418048382
10.4325966835,-2.9996855259,3.7365601063
11.432653904,-2.9996976852,3.7315788269
12.4327111244,-2.9997005463,3.7268183231
13.4317684174,-2.9997158051,3.7222831249
14.4318256378,-2.9997179508,3.7179465294
15.4318828583,-2.9997279644,3.7137625217
16.4319400787,-2.9997293949,3.7097437382
17.4319972992,-2.999707222,3.705851078
18.4320545197,-2.9997074604,3.7021288872
19.4321117401,-2.9997282028,3.6984915733
20.4321689606,-2.9997034073,3.6949708462
21.432226181,-2.9997427464,3.6915402412
22.4322834015,-2.9997341633,3.6882176399
23.4323406219,-2.9997057915,3.6849584579
24.4323978424,-2.9997296333,3.6818196774
25.4324550629,-2.9997117519,3.6787266731
26.4325122833,-2.9997131824,3.6757206917
27.4325690269,-2.999689579,3.6727638245
28.4326262474,-2.9997000694,3.669885397
29.4326834679,-2.9997055531,3.6670584679
30.4327406883,-2.9997091293,3.6642935276
31.4317975044,-2.9997282028,3.6615898609
32.4318552017,-2.9997169971,3.6589188576
33.4319119453,-2.9997251034,3.6562991142
34.4319696426,-2.9997251034,3.6537251472
35.4320263863,-2.9997062683,3.6511890888
36.4320840836,-2.9997315407,3.6486940384
37.4321408272,-2.9997208118,3.6462333202
38.4321985245,-2.9997045994,3.6438581944
39.4322552681,-2.999727726,3.6414868832
40.4323129654,-2.9997191429,3.6391437054
41.432369709,-2.9997055531,3.6368248463
42.4324274063,-2.9997084141,3.6345763206
43.4324841499,-2.9997200966,3.6323568821
44.4325418472,-2.9997267723,3.6301620007
45.4325985909,-2.9997227192,3.6279792786
46.4326562881,-2.9997019768,3.6258544922
47.4327130318,-2.9997081757,3.623724699
48.4317703247,-2.9997141361,3.6216437817
49.4318270683,-2.9997153282,3.6196057796
50.4318847656,-2.9997184277,3.6175813675
51.4319415092,-2.9997155666,3.6156022549
52.4319992065,-2.9997029305,3.6136467457
53.4320559502,-2.9996960163,3.6117069721
54.4321136475,-2.9997115135,3.6097943783
55.4321703911,-2.9997124672,3.6079070568
56.4322280884,-2.9996936321,3.6060450077
57.432284832,-2.9997115135,3.6042098999
58.4323425293,-2.9997167587,3.6024074554
59.4323992729,-2.9997358322,3.6006228924
60.4324569702,-2.9997169971,3.5988526344
61.4325137138,-2.9997124672,3.5971319675
62.4325714111,-2.9997186661,3.5954115391
63.4326281548,-2.9997358322,3.5937185287
64.4326858521,-2.9997186661,3.5920481682
65.4327425957,-2.9997279644,3.590413332
66.4317998886,-2.9997074604,3.5887961388
67.4318566322,-2.9997050762,3.5872061253
68.4319138527,-2.9997122288,3.5856156349
69.4319710732,-2.9997196198,3.5840504169
70.4320282936,-2.9997150898,3.582511425
71.4320855141,-2.9997060299,3.5809977055
72.4321427345,-2.9997012615,3.5794868469
73.432199955,-2.9997143745,3.5779981613
74.4322571754,-2.9997034073,3.5765309334
75.4323143959,-2.9997212887,3.5750644207
76.4323716164,-2.9997096062,3.5736291409
77.4324288368,-2.9997181892,3.5722179413
78.4324860573,-2.9996995926,3.5708184242
79.4325432777,-2.999707222,3.569423914
80.4326004982,-2.9997034073,3.5680606365
81.4326577187,-2.9996919632,3.5666992664
82.4327149391,-2.9997088909,3.5653533936
83.4317722321,-2.9996871948,3.5640273094
84.4318294525,-2.999712944,3.5627069473
85.431886673,-2.9997017384,3.5613999367
86.4319438934,-2.9997060299,3.5601041317
87.4320006371,-2.9997017384,3.5588209629
88.4320578575,-2.9996945858,3.5575506687
89.432115078,-2.9997279644,3.5562858582
90.4321722984,-2.9997141361,3.5550262928
91.4322295189,-2.9997062683,3.5538003445
92.4322867393,-2.9997282028,3.5525779724
93.4323439598,-2.9997220039,3.5513591766
94.4324011803,-2.9997200966,3.5501508713
95.4324584007,-2.9997332096,3.5489621162
96.4325156212,-2.9997308254,3.5477879047
97.4325728416,-2.999712944,3.5466005802
98.4326300621,-2.9997205734,3.545435667
99.4326872826,-2.9997212887,3.5442693233
100.432744503,-2.9997041225,3.5431220531
101.431801796,-2.9997155666,3.5419840813
102.4318590164,-2.9997081757,3.5408511162
103.4319162369,-2.9997222424,3.53971982
104.4319734573,-2.999733448,3.5385901928
105.4320306778,-2.9997279644,3.5374779701
106.4320874214,-2.9997224808,3.5363910198
107.4321446419,-2.9997205734,3.5352854729
108.4322018623,-2.9997136593,3.5342228413
109.4322590828,-2.9997086525,3.5331177711
110.4323163033,-2.9997289181,3.5320353508
111.4323735237,-2.9997172356,3.5309751034
112.4324307442,-2.9997205734,3.5299050808
113.4324879646,-2.9997291565,3.5288486481
114.4325451851,-2.9997310638,3.5277922153
115.4326024055,-2.9997270107,3.5267558098
116.432659626,-2.9997239113,3.5257027149
117.4327168465,-2.9997413158,3.5246622562
118.4317741394,-2.9997282028,3.5236635208
119.4318313599,-2.9997389317,3.5226418972
120.4318885803,-2.9997179508,3.5216228962
121.4319458008,-2.999724865,3.5205996037
122.4320030212,-2.9997346401,3.5195944309
123.4320602417,-2.9997320175,3.5185844898
124.4321174622,-2.9997301102,3.517588377
125.4321746826,-2.9997239113,3.5165929794
126.4322314262,-2.9997360706,3.5156111717
127.4322886467,-2.9997336864,3.5146257877
128.4323458672,-2.9997403622,3.5136334896
129.4324030876,-2.9997417927,3.5126781464
130.4324603081,-2.999753952,3.5117168427
131.4325175285,-2.9997389317,3.5107536316
132.432574749,-2.9997365475,3.5097858906
133.4326319695,-2.9997491837,3.5088310242
134.4326891899,-2.9997315407,3.5078754425
135.4327464104,-2.9997475147,3.5069248676
136.4318037033,-2.9997446537,3.505972147
137.4318609238,-2.9997663498,3.5050346851
138.4319181442,-2.9997425079,3.5041079521
139.4319753647,-2.9997417927,3.503174305
140.4320325851,-2.9997370243,3.5022525787
141.4320898056,-2.9997594357,3.5013380051
142.4321470261,-2.9997375011,3.5004243851
143.4322042465,-2.9997508526,3.4995052814
144.432261467,-2.9997472763,3.4985694885
145.4323186874,-2.9997315407,3.4976792336
146.4323754311,-2.9997498989,3.4967572689
147.4324326515,-2.999755621,3.4958717823
148.432489872,-2.9997603893,3.4949707985
149.4325470924,-2.9997346401,3.4940741062
150.4326043129,-2.9997460842,3.4931664467
151.4326615334,-2.9997675419,3.4922747612
152.4327187538,-2.9997594357,3.4914121628
153.4317760468,-2.9997549057,3.4905250072
154.4318327904,-2.9997439384,3.4896407127
155.4318904877,-2.9997465611,3.4887747765
156.4319472313,-2.9997513294,3.4878976345
157.4320049286,-2.9997694492,3.4870262146
158.4320616722,-2.9997615814,3.4861760139
159.4321193695,-2.9997465611,3.4852952957
160.4321761131,-2.9997282028,3.4844555855
161.4322338104,-2.9997415543,3.4835751057
162.432290554,-2.9997417927,3.4827244282
163.4323482513,-2.9997382164,3.4818818569
164.432404995,-2.9997460842,3.4810316563
165.4324626923,-2.9997425079,3.4801986217
166.4325194359,-2.9997270107,3.4793350697
167.4325766563,-2.9997265339,3.4785058498
168.4326338768,-2.9997475147,3.4776742458
169.4326910973,-2.9997372627,3.4768571854
170.4327478409,-2.999756813,3.4760129452
171.4318056107,-2.9997496605,3.4751830101
172.4318623543,-2.9997262955,3.4743816853
173.4319200516,-2.9997329712,3.473546505
174.4319767952,-2.9997341633,3.4727330208
175.4320344925,-2.9997549057,3.471909523
176.4320912361,-2.9997386932,3.4711108208
177.4321489334,-2.9997265339,3.4702980518
178.432205677,-2.9997253418,3.4695048332
179.4322633743,-2.9997348785,3.4686737061
180.432320118,-2.9997346401,3.4678869247
181.4323778152,-2.999735117,3.4670774937
182.4324345589,-2.999755621,3.4662702084
183.4324922562,-2.9997403622,3.4654965401
184.4325489998,-2.9997239113,3.4646935463
185.4326062202,-2.9997212887,3.4639050961
186.4326634407,-2.9997274876,3.4631311893
187.4327206612,-2.9997475147,3.4623289108
188.4317774773,-2.9997224808,3.4615523815
189.4318346977,-2.9997253418,3.460773468
190.4318919182,-2.999707222,3.4600009918
191.4319491386,-2.9997198582,3.4592263699
192.4320063591,-2.9997446537,3.4584488869
193.4320635796,-2.9997169971,3.4576895237
194.4321208,-2.9997193813,3.4569337368
195.4321780205,-2.9997234344,3.4561669827
196.4322352409,-2.9997260571,3.4554126263
197.4322924614,-2.999751091,3.4546313286
198.4323496819,-2.9997525215,3.4538874626
199.4324069023,-2.9997563362,3.4531235695
200.4324641228,-2.9997355938,3.4523775578
201.4325213432,-2.9997460842,3.4516298771
202.4325785637,-2.9997324944,3.4508898258
203.4326357841,-2.9997401237,3.4501466751
204.4326930046,-2.9997417927,3.4493982792
205.4327502251,-2.9997317791,3.44866395
206.4318070412,-2.9997105598,3.4479222298
207.4318642616,-2.9997150898,3.4471991062
208.4319214821,-2.9997196198,3.4464561939
209.4319787025,-2.9997303486,3.4457249641
210.432035923,-2.9997386932,3.4450039864
211.4320931435,-2.9997210503,3.4442903996
212.4321503639,-2.9997200966,3.4435546398
213.4322075844,-2.9997088909,3.4428291321
214.4322648048,-2.9997076988,3.4421136379
215.4323220253,-2.9997196198,3.4414012432
216.4323792458,-2.9997179508,3.440672636
217.4324364662,-2.999735117,3.4399795532
218.4324936867,-2.9997332096,3.4392521381
219.4325509071,-2.9997200966,3.4385428429
220.4326081276,-2.9997236729,3.4378387928
221.4326653481,-2.9997358322,3.4371402264
222.4327225685,-2.9997253418,3.4364326
223.4317798615,-2.9997296333,3.4357516766
224.4318370819,-2.9997460842,3.4350507259
225.4318938255,-2.9997270107,3.4343576431
226.431951046,-2.9997332096,3.4336688519
227.4320082664,-2.9997355938,3.4329850674
228.4320654869,-2.9997577667,3.4322767258
229.4321227074,-2.9997377396,3.4316082001
230.4321799278,-2.9997549057,3.4309146404
231.4322371483,-2.9997494221,3.4302377701
232.4322943687,-2.999751091,3.4295630455
233.4323515892,-2.9997398853,3.4288907051
234.4324088097,-2.9997336864,3.428208828
235.4324660301,-2.9997458458,3.427539587
236.4325232506,-2.9997377396,3.4268636703
237.432580471,-2.9997396469,3.4262011051
238.4326376915,-2.9997513294,3.4255297184
239.432694912,-2.9997406006,3.424895525
240.4327521324,-2.999755621,3.4242243767
241.4318094254,-2.9997475147,3.4235584736
242.4318666458,-2.9997391701,3.4228956699
243.4319238663,-2.9997446537,3.4222419262
244.4319810867,-2.9997513294,3.4215927124
245.4320378304,-2.9997427464,3.4209547043
246.4320950508,-2.9997546673,3.4202778339
