Time (s),Current (A),Voltage(V)
0.4240241051,-2.9995801449,3.8157355785
1.4240813255,-2.9995801449,3.7808206081
2.424138546,-2.9995865822,3.7642121315
3.4241957664,-2.9996261597,3.752038002
4.4242529869,-2.999683857,3.7420518398
5.4233102798,-2.9996581078,3.7334158421
6.4233675003,-2.9996759892,3.7256586552
7.4234247208,-2.9996528625,3.7185719013
8.4234819412,-2.9997045994,3.7119882107
9.4235391617,-2.9996845722,3.7058520317
10.4235963821,-2.9996802807,3.7000367641
11.4236536026,-2.9996659756,3.694555521
12.4237103462,-2.9996900558,3.6893503666
13.4237675667,-2.9996938705,3.6843566895
14.4238247871,-2.99969244,3.6795737743
15.4238820076,-2.9996788502,3.6749789715
16.4239392281,-2.9996960163,3.6705782413
17.4239964485,-2.9996905327,3.666301012
18.424053669,-2.9996912479,3.6621661186
19.4241108894,-2.9996869564,3.6581809521
20.4241681099,-2.9996988773,3.6543061733
21.4242253304,-2.9996807575,3.6505253315
22.4242825508,-2.9996948242,3.646863699
23.4233398438,-2.9996705055,3.6432957649
24.4233965874,-2.9996812344,3.6397926807
25.4234542847,-2.9996879101,3.6363649368
26.4235110283,-2.9997086525,3.6330795288
27.4235687256,-2.9997017384,3.6297900677
28.4236254692,-2.9996900558,3.6265981197
29.4236831665,-2.9997086525,3.6234457493
30.4237399101,-2.9996926785,3.6203737259
31.4237976074,-2.9997105598,3.6173558235
32.423854351,-2.9997057915,3.6143913269
33.4239115715,-2.9997282028,3.6114637852
34.423968792,-2.9997012615,3.6086130142
35.4240260124,-2.9996886253,3.6057915688
36.424082756,-2.9996964931,3.6030197144
37.4241404533,-2.999704361,3.6002774239
38.424197197,-2.99969244,3.5975821018
39.4242548943,-2.9996864796,3.5949511528
40.4233117104,-2.9996910095,3.5923483372
41.4233694077,-2.9996933937,3.5897819996
42.4234261513,-2.9997098446,3.587259531
43.4234838486,-2.9996979237,3.5847659111
44.4235405922,-2.9996991158,3.582297802
45.4235982895,-2.9996731281,3.5798892975
46.4236550331,-2.9996802807,3.5775136948
47.4237127304,-2.9996871948,3.5751783848
48.423769474,-2.9997055531,3.5728604794
49.4238271713,-2.9996900558,3.5705738068
50.4238839149,-2.9996967316,3.5683338642
51.4239411354,-2.9996919632,3.5661273003
52.4239983559,-2.9997012615,3.5639445782
53.4240555763,-2.9996857643,3.5618007183
54.4241127968,-2.9996798038,3.5596723557
55.4241700172,-2.9997088909,3.5575561523
56.4242267609,-2.9997091293,3.5554978848
57.4242844582,-2.9997260571,3.553435564
58.4233412743,-2.9997062683,3.5514273643
59.4233984947,-2.9997105598,3.5494499207
60.4234557152,-2.9996786118,3.5474870205
61.4235129356,-2.9996922016,3.5455412865
62.4235701561,-2.9997091293,3.5436148643
63.4236273766,-2.9997215271,3.5417404175
64.423684597,-2.9997019768,3.5398635864
65.4237418175,-2.9997074604,3.5380349159
66.4237990379,-2.9997012615,3.5361907482
67.4238562584,-2.9997172356,3.5344154835
68.4239134789,-2.9997143745,3.5326128006
69.4239706993,-2.9997088909,3.5308561325
70.4240279198,-2.999686718,3.5291228294
71.4240851402,-2.9997136593,3.5273990631
72.4241423607,-2.9996995926,3.525686264
73.4241995811,-2.9997098446,3.5240166187
74.4242568016,-2.9997091293,3.5223331451
75.4233136177,-2.9996936321,3.5206918716
76.4233708382,-2.9997160435,3.5190484524
77.4234280586,-2.9997041225,3.5174221992
78.4234852791,-2.9996876717,3.5158295631
79.4235424995,-2.9997081757,3.5142447948
80.42359972,-2.9997265339,3.5126774311
81.4236569405,-2.9997115135,3.5111222267
82.4237141609,-2.9996979237,3.5095798969
83.4237713814,-2.9997110367,3.5080587864
84.4238286018,-2.9997007847,3.5065584183
85.4238858223,-2.9997210503,3.5050456524
86.4239430428,-2.9997375011,3.5035645962
87.4240002632,-2.9997186661,3.5020830631
88.4240574837,-2.9997088909,3.5006453991
89.4241147041,-2.9997246265,3.4991762638
90.4241719246,-2.9997196198,3.4977369308
91.4242291451,-2.9997208118,3.4963190556
92.4242863655,-2.9997212887,3.4949183464
93.4233431816,-2.9997239113,3.493522644
94.4234004021,-2.9997360706,3.4921150208
95.4234576225,-2.9997274876,3.4907381535
96.423514843,-2.9997169971,3.4893760681
97.4235720634,-2.9997091293,3.4880065918
98.4236292839,-2.9997267723,3.4866669178
99.4236865044,-2.9997200966,3.4853160381
100.4237437248,-2.9997124672,3.483987093
101.4238009453,-2.9997234344,3.4826915264
102.4238581657,-2.9997150898,3.4813649654
103.4239153862,-2.9997270107,3.4800515175
104.4239726067,-2.9997181892,3.4788050652
105.4240298271,-2.9997267723,3.4775104523
106.4240870476,-2.9997200966,3.4762425423
107.424144268,-2.9997336864,3.4749796391
108.4242014885,-2.9997358322,3.4737138748
109.424258709,-2.9997365475,3.4724755287
110.4233160019,-2.9997487068,3.4712262154
111.4233727455,-2.9997398853,3.4699785709
112.423429966,-2.999735117,3.4687614441
113.4234871864,-2.999727726,3.4675419331
114.4235444069,-2.9997389317,3.466356039
115.4236016273,-2.9997580051,3.4651470184
116.4236588478,-2.9997420311,3.4639585018
117.4237160683,-2.999733448,3.4627861977
118.4237732887,-2.9997344017,3.4616000652
119.4238305092,-2.9997193813,3.4604351521
120.4238877296,-2.9997332096,3.4592652321
121.4239449501,-2.9997181892,3.4581232071
122.4240021706,-2.9997317791,3.4569778442
123.424059391,-2.9997525215,3.4558234215
124.4241166115,-2.9997141361,3.4547028542
125.4241738319,-2.9997222424,3.4535648823
126.4242310524,-2.9997270107,3.4524493217
127.4242882729,-2.9997375011,3.4513268471
128.4233455658,-2.9997293949,3.4502015114
129.4234027863,-2.9997496605,3.4491009712
130.4234600067,-2.9997160435,3.4480178356
131.4235167503,-2.9997458458,3.4469292164
132.4235739708,-2.9997286797,3.4458534718
133.4236311913,-2.9997193813,3.4447774887
134.4236884117,-2.9997410774,3.4437088966
135.4237456322,-2.9997308254,3.4426183701
136.4238028526,-2.9997332096,3.4415762424
137.4238600731,-2.9997365475,3.4405221939
138.4239172935,-2.9997458458,3.4394674301
139.423974514,-2.9997267723,3.4384248257
140.4240317345,-2.9997377396,3.4373936653
141.4240889549,-2.9997270107,3.436365366
142.4241461754,-2.9997296333,3.435311079
143.4242033958,-2.9997251034,3.4343135357
144.4242606163,-2.9997365475,3.4332916737
145.4233174324,-2.999751091,3.4322783947
146.4233751297,-2.9997222424,3.4312627316
147.4234318733,-2.9997262955,3.4302527905
148.4234895706,-2.9997432232,3.4292521477
149.4235463142,-2.9997410774,3.4282393456
150.4236035347,-2.9997425079,3.4272742271
151.4236607552,-2.9997498989,3.4262731075
152.4237179756,-2.9997398853,3.4253175259
153.4237751961,-2.9997508526,3.4243774414
154.4238324165,-2.9997346401,3.4233942032
155.4238891602,-2.9997396469,3.4224290848
156.4239468575,-2.999735117,3.4214770794
157.4240036011,-2.9997506142,3.4205183983
158.4240612984,-2.9997391701,3.4195904732
159.424118042,-2.9997274876,3.4186396599
160.4241757393,-2.9997336864,3.4177019596
161.4242324829,-2.999745369,3.4167788029
162.4242901802,-2.999733448,3.4158222675
163.4233469963,-2.9997446537,3.4148952961
164.4234046936,-2.9997546673,3.4139785767
165.4234614372,-2.9997467995,3.413064003
166.4235191345,-2.9997446537,3.4121472836
167.4235758781,-2.9997601509,3.4112529755
168.4236335754,-2.9997506142,3.4103415012
169.4236903191,-2.9997403622,3.4094436169
170.4237475395,-2.9997398853,3.4085528851
171.42380476,-2.9997630119,3.4076464176
172.4238619804,-2.9997560978,3.4067709446
173.4239192009,-2.9997439384,3.405872345
174.4239764214,-2.9997520447,3.4050037861
175.424033165,-2.9997465611,3.40411973
176.4240908623,-2.9997370243,3.4032523632
177.4241476059,-2.9997425079,3.4023814201
