Time (s),Current (A),Voltage(V)
0.426024437,-2.9995825291,3.8067703247
1.4260816574,-2.999573946,3.7700679302
2.4251389503,-2.9995989799,3.7527263165
3.4251961708,-2.9995918274,3.7400286198
4.4252533913,-2.999617815,3.7296037674
5.4253106117,-2.9996733665,3.7205569744
6.4253678322,-2.9996602535,3.7124757767
7.4254250526,-2.9996528625,3.705085516
8.4254822731,-2.9996507168,3.6982240677
9.4255394936,-2.9996562004,3.6918168068
10.425596714,-2.9996557236,3.6857802868
11.4256539345,-2.9996702671,3.6800644398
12.4257111549,-2.9996511936,3.6746134758
13.4257683754,-2.9996533394,3.6694114208
14.4258255959,-2.9996547699,3.664450407
15.4258823395,-2.9996731281,3.6596546173
16.4259395599,-2.9996771812,3.6550290585
17.4259967804,-2.9996776581,3.6505744457
18.4260540009,-2.9996945858,3.646258831
19.4261112213,-2.9996602535,3.6420779228
20.4251685143,-2.9996869564,3.6380193233
21.4252257347,-2.9997031689,3.6340842247
22.4252829552,-2.9996807575,3.6302464008
23.4253401756,-2.9996843338,3.6264812946
24.4253973961,-2.9996926785,3.6228129864
25.4254546165,-2.9997041225,3.6192214489
26.425511837,-2.9997045994,3.6157093048
27.4255690575,-2.9996871948,3.6122741699
28.4256262779,-2.9996697903,3.6089165211
29.4256834984,-2.9996798038,3.6056230068
30.4257407188,-2.9996681213,3.6023759842
31.4257979393,-2.999686718,3.5991899967
32.4258551598,-2.9996993542,3.5960681438
33.4259123802,-2.9996798038,3.5930030346
34.4259696007,-2.9996774197,3.5899746418
35.4260263443,-2.9996685982,3.5869958401
36.4260835648,-2.9996726513,3.5840764046
37.4251403809,-2.999682188,3.5812044144
38.4251980782,-2.9996771812,3.5783503056
39.4252548218,-2.9996745586,3.5755720139
40.4253125191,-2.9996745586,3.5728354454
41.4253692627,-2.9996707439,3.5701243877
42.42542696,-2.9996712208,3.5674653053
43.4254837036,-2.999683857,3.5648257732
44.4255414009,-2.9996538162,3.5622489452
45.4255981445,-2.9996881485,3.5596959591
46.4256558418,-2.9996788502,3.557158947
47.4257125854,-2.9996638298,3.5546886921
48.4257702827,-2.9996919632,3.5522408485
49.4258270264,-2.9996907711,3.5498421192
50.4258847237,-2.9996733665,3.5474824905
51.4259414673,-2.9996626377,3.545124054
52.4259991646,-2.9996898174,3.5428085327
53.4260559082,-2.9996466637,3.540563345
54.4261136055,-2.9996871948,3.53829813
55.4251699448,-2.9996917248,3.5360920429
56.4252276421,-2.9996836185,3.5338928699
57.4252843857,-2.9996759892,3.5317325592
58.425342083,-2.9996781349,3.5296010971
59.4253988266,-2.9996962547,3.5275022984
60.4254565239,-2.9996836185,3.5254220963
61.4255132675,-2.9996912479,3.5233838558
62.4255709648,-2.9996843338,3.5213365555
63.4256277084,-2.9997005463,3.5193324089
64.4256854057,-2.9996807575,3.5173470974
65.4257421494,-2.9997141361,3.5153911114
66.4257998466,-2.999707222,3.5134396553
67.4258565903,-2.9997112751,3.5115435123
68.4259142876,-2.9997057915,3.5096502304
69.4259710312,-2.9997191429,3.5077798367
70.4260287285,-2.9997007847,3.505916357
71.4260854721,-2.9997000694,3.5041000843
72.425142765,-2.9997181892,3.5023012161
73.4251999855,-2.99969244,3.5005073547
74.425257206,-2.9996774197,3.4987366199
75.4253139496,-2.9997160435,3.4969630241
76.42537117,-2.9996883869,3.4952225685
77.4254283905,-2.9997098446,3.49350214
78.425485611,-2.9997136593,3.4918346405
79.4255428314,-2.9996869564,3.4901115894
80.4256000519,-2.9996886253,3.4884645939
81.4256572723,-2.9996950626,3.4867863655
82.4257144928,-2.9997384548,3.4851500988
83.4257717133,-2.9997131824,3.4835240841
84.4258289337,-2.9997098446,3.4819350243
85.4258861542,-2.9997181892,3.4803371429
86.4259433746,-2.9997112751,3.4787623882
87.4260005951,-2.9997160435,3.477183342
88.4260578156,-2.9997000694,3.4756429195
89.426115036,-2.9997181892,3.4741029739
90.4251723289,-2.9997155666,3.4725837708
91.4252295494,-2.9997227192,3.4710612297
92.4252867699,-2.9997031689,3.4695692062
93.4253439903,-2.9997124672,3.4680802822
94.4254012108,-2.9997184277,3.4666156769
95.4254579544,-2.999704361,3.4651312828
96.4255151749,-2.9997138977,3.4636883736
97.4255723953,-2.9997124672,3.4622421265
98.4256296158,-2.9996957779,3.4608287811
99.4256868362,-2.9997076988,3.4594078064
100.4257440567,-2.9997136593,3.4579851627
101.4258012772,-2.9996836185,3.456584692
102.4258584976,-2.9997103214,3.455201149
103.4259157181,-2.9997191429,3.4538230896
104.4259729385,-2.9997150898,3.4524662495
105.426030159,-2.9997050762,3.4511253834
106.4260873795,-2.9996964931,3.4497528076
107.4251446724,-2.9997029305,3.4484272003
108.4252018929,-2.9997260571,3.4471073151
109.4252591133,-2.9996945858,3.4457800388
110.4253163338,-2.9996836185,3.4444704056
111.4253735542,-2.999702692,3.4431688786
112.4254307747,-2.9997191429,3.4419090748
113.4254879951,-2.9997181892,3.4406116009
114.4255447388,-2.9996886253,3.4393544197
115.4256019592,-2.9997193813,3.4380836487
116.4256591797,-2.9997253418,3.4368209839
117.4257164001,-2.9996979237,3.4355823994
118.4257736206,-2.9997181892,3.4343502522
119.4258308411,-2.9997262955,3.4331123829
120.4258880615,-2.9997181892,3.4318795204
121.425945282,-2.9997069836,3.4306797981
122.4260025024,-2.9997403622,3.4294643402
123.4260597229,-2.9997122288,3.4282751083
124.4261169434,-2.9997005463,3.4270994663
125.4251742363,-2.9997150898,3.4258925915
126.4252314568,-2.9997210503,3.4247255325
127.4252886772,-2.9997184277,3.4235532284
128.4253458977,-2.9997127056,3.4223928452
129.4254031181,-2.9997112751,3.4212398529
130.4254603386,-2.9997179508,3.4200997353
131.4255175591,-2.9997184277,3.4189763069
132.4255747795,-2.9997136593,3.4178204536
133.425632,-2.9996995926,3.4166858196
134.4256887436,-2.9997105598,3.4155533314
