Time (s),Current (A),Voltage(V)
0.4340248108,-2.9996030331,3.8413145542
1.4340820313,-2.9996137619,3.8120446205
2.4341392517,-2.9995989799,3.7976751328
3.4341964722,-2.9996390343,3.7870759964
4.4342536926,-2.9996538162,3.7783286572
5.4343109131,-2.9996623993,3.7706618309
6.4343681335,-2.9996557236,3.7637746334
7.434425354,-2.999671936,3.7574808598
8.4334826469,-2.9997022152,3.7516205311
9.4335398674,-2.9996905327,3.7461323738
10.4335970879,-2.999686718,3.7409248352
11.4336543083,-2.9996883869,3.7360067368
12.4337115288,-2.9996933937,3.7313101292
13.4337687492,-2.9997131824,3.7267947197
14.4338259697,-2.9996688366,3.7224900723
15.4338831902,-2.9997122288,3.718367815
16.4339404106,-2.9997110367,3.7143673897
17.4339976311,-2.9996986389,3.7105059624
18.4340543747,-2.9997067451,3.7067804337
19.4341115952,-2.9996862411,3.7031843662
20.4341688156,-2.9997031689,3.699685812
21.4342260361,-2.9997234344,3.6962716579
22.4342832565,-2.9997124672,3.69297719
23.434340477,-2.9997007847,3.6897413731
24.4343976974,-2.9997322559,3.6865997314
25.4334549904,-2.9996843338,3.6835336685
26.4335122108,-2.9997117519,3.6805183887
27.4335694313,-2.9996972084,3.677590847
28.4336266518,-2.9997179508,3.6746916771
29.4336838722,-2.9997086525,3.6718688011
30.4337410927,-2.999712944,3.6690795422
31.4337983131,-2.9996972084,3.6663668156
32.4338555336,-2.9997124672,3.66370821
33.4339127541,-2.9997138977,3.6610734463
34.4339699745,-2.9997055531,3.6584863663
35.434027195,-2.9997019768,3.6559479237
36.4340844154,-2.9997000694,3.6534347534
37.4341416359,-2.9997103214,3.6509814262
38.4341983795,-2.9997141361,3.6485514641
39.4342556,-2.9996962547,3.6461901665
40.4343128204,-2.9996864796,3.6438140869
41.4343700409,-2.9997062683,3.6415109634
42.4344272614,-2.9997057915,3.639206171
43.4334845543,-2.999702692,3.6369726658
44.4335417747,-2.999673605,3.6347439289
45.4335989952,-2.9997105598,3.6325538158
46.4336562157,-2.9996988773,3.6304032803
47.4337134361,-2.9997014999,3.6282830238
48.4337706566,-2.9996974468,3.6261856556
49.433827877,-2.9996919632,3.6241321564
50.4338850975,-2.9996960163,3.622086525
51.433942318,-2.9997096062,3.6200845242
52.4339995384,-2.9997131824,3.6180951595
53.4340567589,-2.9996938705,3.6161429882
54.4341139793,-2.9997034073,3.6142244339
55.4341711998,-2.9997057915,3.6123445034
56.4342284203,-2.9997012615,3.6104972363
57.4342856407,-2.9997179508,3.6086280346
58.4343423843,-2.9997084141,3.6068103313
59.4343996048,-2.9997050762,3.6050095558
60.4334568977,-2.9997069836,3.6032524109
61.4335136414,-2.9997022152,3.6015193462
62.4335713387,-2.999704361,3.5997915268
63.4336280823,-2.999683857,3.598092556
64.4336857796,-2.9996986389,3.5964105129
65.4337425232,-2.9997057915,3.5947751999
66.4338002205,-2.9997186661,3.5931506157
67.4338569641,-2.9997143745,3.59152174
68.4339146614,-2.9997105598,3.5899467468
69.433971405,-2.9997055531,3.5883867741
70.4340291023,-2.9997112751,3.5868282318
71.4340858459,-2.9997041225,3.5853021145
72.4341435432,-2.999714613,3.5838124752
73.4342002869,-2.9997098446,3.582337141
74.4342579842,-2.9997005463,3.5808689594
75.4343147278,-2.9997179508,3.5794160366
76.4343724251,-2.9997150898,3.5779709816
77.4344291687,-2.9997246265,3.576546669
78.4334864616,-2.9997205734,3.5751771927
79.4335432053,-2.9997260571,3.5737974644
80.4336009026,-2.9997282028,3.5724077225
81.4336576462,-2.9997282028,3.5710535049
82.4337153435,-2.999714613,3.5697367191
83.4337720871,-2.9997074604,3.5684273243
84.4338297844,-2.9997034073,3.5671112537
85.433886528,-2.9997131824,3.5658094883
86.4339442253,-2.9997236729,3.5645184517
87.4340009689,-2.9997320175,3.563272953
88.4340586662,-2.9997406006,3.5620038509
89.4341154099,-2.9997234344,3.5607697964
90.4341731071,-2.9997293949,3.5595266819
91.4342298508,-2.9997234344,3.5583076477
92.4342875481,-2.9997172356,3.5570952892
93.4343442917,-2.9997322559,3.5559124947
94.434401989,-2.9997403622,3.5547087193
95.4334588051,-2.9997236729,3.5535433292
96.4335160255,-2.9997181892,3.5523762703
97.4335727692,-2.9997322559,3.5512094498
98.4336299896,-2.9997317791,3.5500812531
