Time (s),Current (A),Voltage(V)
0.426024437,-2.9995746613,3.8227319717
1.4260816574,-2.9995815754,3.7891840935
2.4261388779,-2.9996116161,3.7731461525
3.4261960983,-2.9996392727,3.7613768578
4.4262533188,-2.9996664524,3.7517259121
5.4263105392,-2.9996657372,3.7433469296
6.4263672829,-2.9996733665,3.7358429432
7.4264245033,-2.9996678829,3.7289688587
8.4254817963,-2.9996647835,3.7226128578
9.4255390167,-2.9996919632,3.716647625
10.4255962372,-2.9996547699,3.7110445499
11.4256534576,-2.9996843338,3.7057507038
12.4257106781,-2.9996795654,3.7006812096
13.4257678986,-2.9997007847,3.6958553791
14.425825119,-2.9996716976,3.6912412643
15.4258823395,-2.9996905327,3.6867740154
16.4259395599,-2.999663353,3.6824996471
17.4259967804,-2.9997012615,3.6783699989
18.4260540009,-2.9996876717,3.6743826866
19.4261112213,-2.9996864796,3.6705205441
20.4261684418,-2.999682188,3.6667673588
21.4262256622,-2.9997000694,3.6631326675
22.4262828827,-2.9996933937,3.6595730782
23.4263401031,-2.9997117519,3.6561431885
24.4263973236,-2.999686718,3.6527614594
25.4254541397,-2.999683857,3.6494884491
26.4255113602,-2.9996812344,3.6462740898
27.4255685806,-2.9997000694,3.6431305408
28.4256258011,-2.9996995926,3.6400482655
29.4256830215,-2.9996907711,3.637029171
30.425740242,-2.999704361,3.6340670586
31.4257974625,-2.9997060299,3.6311752796
32.4258546829,-2.9996974468,3.628323555
33.4259119034,-2.9996798038,3.6255226135
34.4259691238,-2.9997196198,3.6227564812
35.4260263443,-2.9997014999,3.6200582981
36.4260835648,-2.9996840954,3.6174006462
37.4261407852,-2.999686718,3.6147618294
38.4261980057,-2.9997034073,3.6121788025
39.4262552261,-2.9996986389,3.6096563339
40.4263124466,-2.9996857643,3.6071507931
41.4263696671,-2.9996790886,3.6046979427
42.4264268875,-2.9996974468,3.6022713184
43.4254837036,-2.9996891022,3.5998730659
44.4255409241,-2.9996850491,3.5975143909
45.4255981445,-2.9996957779,3.5952048302
46.4256548882,-2.9996857643,3.5929114819
47.4257125854,-2.9996981621,3.5906348228
48.4257693291,-2.999702692,3.5884139538
49.4258270264,-2.999710083,3.5862205029
50.42588377,-2.9996852875,3.5840568542
