Time (s),Current (A),Voltage(V)
0.4230241776,-2.9996933937,3.850271225
1.423081398,-2.9997014999,3.8240580559
2.4231386185,-2.9997115135,3.8108644485
3.4231958389,-2.9996991158,3.8009874821
4.4232530594,-2.9997136593,3.792807579
5.4233102798,-2.9997186661,3.785623312
6.4233675003,-2.999724865,3.779132843
7.4234247208,-2.999723196,3.7731516361
8.4234819412,-2.9997200966,3.7675731182
9.4235391617,-2.9997515678,3.7623577118
10.4235963821,-2.9997472763,3.7574033737
11.4236536026,-2.9997310638,3.7527289391
12.4237108231,-2.9997403622,3.7482368946
13.422768116,-2.9997513294,3.743940115
14.4228253365,-2.9997467995,3.7398374081
15.4228820801,-2.999745369,3.7358903885
16.4229393005,-2.9997317791,3.7320768833
17.422996521,-2.9997601509,3.7284038067
18.4230537415,-2.9997632504,3.7248709202
19.4231109619,-2.9997320175,3.7214479446
20.4231681824,-2.999774456,3.7181127071
21.4232254028,-2.9997673035,3.7148885727
22.4232826233,-2.999755621,3.7117516994
23.4233398438,-2.9997663498,3.7087056637
24.4233970642,-2.9997622967,3.7057337761
25.4234542847,-2.9997456074,3.7028319836
26.4235115051,-2.9997673035,3.6999754906
27.4235687256,-2.999797821,3.6972074509
28.423625946,-2.9997684956,3.6944687366
29.4236831665,-2.9997799397,3.691804409
30.423740387,-2.9997825623,3.6891877651
31.4227976799,-2.9997742176,3.686622858
32.4228544235,-2.9997806549,3.6840963364
33.4229121208,-2.9997417927,3.6816015244
34.4229688644,-2.9997582436,3.6791858673
35.4230260849,-2.999767065,3.6767594814
36.4230833054,-2.9997785091,3.6743702888
37.4231405258,-2.9997675419,3.6720428467
38.4231972694,-2.9997520447,3.6697280407
39.4232549667,-2.9997725487,3.6674239635
40.4233117104,-2.9997437,3.6651821136
41.4233694077,-2.9997375011,3.6629490852
42.4234261513,-2.9997849464,3.6607606411
43.4234838486,-2.9997644424,3.6586112976
44.4235405922,-2.9997677803,3.6564640999
45.4235982895,-2.9997534752,3.6543581486
46.4236550331,-2.9997644424,3.6522369385
47.4237127304,-2.9997534752,3.6501989365
48.4227695465,-2.9997766018,3.6481585503
49.422826767,-2.9997355938,3.6461458206
50.4228839874,-2.9997580051,3.6441688538
51.4229412079,-2.999758482,3.6422049999
52.4229984283,-2.9997575283,3.6402637959
53.4230556488,-2.9997293949,3.6383485794
54.4231128693,-2.9997370243,3.6364405155
55.4231700897,-2.9997582436,3.6345691681
56.4232273102,-2.9997742176,3.6326985359
57.4232845306,-2.9997513294,3.6308927536
58.4233412743,-2.9997398853,3.6290800571
59.4233984947,-2.9997749329,3.627300024
60.4234557152,-2.999771595,3.6255354881
61.4235129356,-2.99974823,3.6238057613
62.4235701561,-2.9997446537,3.6220841408
63.4236273766,-2.9997444153,3.6203756332
64.423684597,-2.9997322559,3.6187059879
65.4237418175,-2.9997594357,3.6170649529
66.4227991104,-2.9997515678,3.6154284477
67.4228563309,-2.999755621,3.6138124466
68.4229135513,-2.9997432232,3.6122398376
69.4229707718,-2.9997663498,3.6106564999
70.4230279922,-2.9997689724,3.6091265678
71.4230852127,-2.9997553825,3.607585907
72.4231424332,-2.9997467995,3.6060693264
73.4231996536,-2.9997370243,3.6046016216
74.4232568741,-2.9997546673,3.6031315327
75.4233140945,-2.9997622967,3.6016881466
76.423371315,-2.9997496605,3.6002411842
77.4234285355,-2.9997601509,3.5988278389
78.4234852791,-2.9997575283,3.5974473953
79.4235424995,-2.9997808933,3.5960793495
80.42359972,-2.9997830391,3.5947239399
81.4236569405,-2.9997816086,3.5933506489
82.4237141609,-2.9997529984,3.5920424461
83.4227714539,-2.9997749329,3.5907227993
84.4228286743,-2.9997620583,3.589427948
85.4228858948,-2.9997632504,3.5881485939
86.4229431152,-2.9997625351,3.5868968964
87.4230003357,-2.9997768402,3.5856423378
88.4230575562,-2.9997560978,3.5844066143
89.4231147766,-2.9997725487,3.5831823349
90.4231719971,-2.9997525215,3.5819737911
91.4232292175,-2.999758482,3.5807721615
92.423286438,-2.9997694492,3.5795860291
93.4233436584,-2.9997768402,3.5784144402
94.4234008789,-2.9997725487,3.5772681236
95.4234580994,-2.9997541904,3.5761163235
96.4235153198,-2.99974823,3.5749847889
97.4235720634,-2.9997661114,3.5738413334
98.4236292839,-2.9997732639,3.5727336407
99.4236865044,-2.9997732639,3.5716233253
100.4237437248,-2.9997749329,3.5705177784
101.4228010178,-2.9997601509,3.5694246292
102.4228582382,-2.999786377,3.5683588982
103.4229154587,-2.9997799397,3.567281723
104.4229726791,-2.9997718334,3.5662248135
105.4230298996,-2.9997806549,3.5651557446
106.4230871201,-2.9997727871,3.5641202927
107.4231443405,-2.9997980595,3.5630812645
108.423201561,-2.9997844696,3.5620398521
109.4232587814,-2.999778986,3.5610280037
110.4233160019,-2.9997844696,3.5599935055
111.4233732224,-2.9997828007,3.5589857101
112.4234304428,-2.999787569,3.5579881668
113.4234876633,-2.9997823238,3.556994915
114.4235448837,-2.9997735023,3.5559887886
115.4236021042,-2.9997904301,3.5550336838
116.4236593246,-2.9997713566,3.5540623665
117.4237160683,-2.9997742176,3.5530910492
118.4227733612,-2.9998013973,3.5521187782
119.4228305817,-2.9997856617,3.5511562824
120.4228878021,-2.9997899532,3.5502123833
121.4229450226,-2.9997930527,3.5492715836
122.423002243,-2.9997861385,3.5483095646
123.4230594635,-2.9997971058,3.5473787785
124.423116684,-2.9997839928,3.546466589
125.4231739044,-2.9997768402,3.545517683
126.4232311249,-2.9997780323,3.5445907116
127.4232883453,-2.9998021126,3.5436601639
128.4233455658,-2.9997727871,3.5427706242
129.4234027863,-2.9997811317,3.5418422222
130.4234600067,-2.99979496,3.5409531593
131.4235172272,-2.9997801781,3.540060997
132.4235744476,-2.9997835159,3.5391390324
133.4236316681,-2.9997990131,3.5382530689
134.4236888885,-2.9998090267,3.5373706818
135.423746109,-2.9998033047,3.5364980698
136.4228029251,-2.9997937679,3.5356047153
137.4228596687,-2.999796629,3.534744978
138.422917366,-2.9997882843,3.533895731
139.4229741096,-2.9998018742,3.5330176353
140.4230318069,-2.9997987747,3.5321393013
141.4230885506,-2.9997961521,3.5312719345
142.4231462479,-2.9998073578,3.5304336548
143.4232029915,-2.9997973442,3.5295865536
144.4232606888,-2.9998028278,3.5287387371
145.4233174324,-2.9998030663,3.5278878212
146.4233751297,-2.99979496,3.5270588398
147.4234318733,-2.9997794628,3.5262215137
148.4234895706,-2.9997944832,3.525374651
149.4235463142,-2.999796629,3.5245492458
150.4236040115,-2.9997756481,3.5237259865
151.4236607552,-2.9998028278,3.522901535
152.4237184525,-2.9997916222,3.5220823288
153.4227752686,-2.999768734,3.5212740898
154.422832489,-2.99979949,3.5204656124
155.4228897095,-2.9997839928,3.5196502209
156.4229469299,-2.9997904301,3.5188481808
157.4230036736,-2.9997849464,3.5180478096
158.4230613708,-2.9997935295,3.5172426701
159.4231181145,-2.9997916222,3.5164256096
160.4231758118,-2.9997937679,3.5156230927
161.4232325554,-2.9997980595,3.5148353577
162.4232902527,-2.9997816086,3.5140736103
163.4233469963,-2.999787569,3.5132873058
164.4234046936,-2.9997889996,3.5124895573
165.4234614372,-2.9998044968,3.51172328
166.4235191345,-2.9997720718,3.5109539032
167.4235758781,-2.9997661114,3.5101714134
168.4236335754,-2.9998025894,3.5094060898
169.4236903191,-2.9997830391,3.5086293221
170.4237480164,-2.9997808933,3.5078709126
171.4228048325,-2.9997870922,3.5071015358
172.4228620529,-2.9997954369,3.5063402653
173.4229192734,-2.9997854233,3.5055937767
174.4229764938,-2.9997766018,3.5048418045
175.4230337143,-2.9997866154,3.5040926933
176.4230909348,-2.9997880459,3.5033426285
177.4231476784,-2.9997951984,3.5025987625
178.4232048988,-2.9997990131,3.50182271
179.4232621193,-2.9998002052,3.5010900497
180.4233193398,-2.9998061657,3.5003540516
181.4233765602,-2.9997785091,3.4996299744
182.4234337807,-2.9997880459,3.4988913536
183.4234910011,-2.9997849464,3.4981751442
184.4235482216,-2.9997675419,3.4974389076
185.423605442,-2.9997780323,3.4967010021
186.4236626625,-2.9997999668,3.495978117
187.423719883,-2.9997811317,3.495254755
188.4227771759,-2.9998025894,3.4945366383
189.4228343964,-2.9997842312,3.4938082695
190.4228916168,-2.9997889996,3.4930884838
191.4229488373,-2.9997844696,3.492372036
192.4230060577,-2.9997963905,3.4916474819
193.4230632782,-2.9997916222,3.4909567833
194.4231204987,-2.9998044968,3.4902575016
195.4231777191,-2.9997906685,3.4895534515
196.4232344627,-2.9997897148,3.4888474941
197.4232916832,-2.9997911453,3.4881608486
198.4233489037,-2.9997987747,3.4874649048
199.4234061241,-2.9997813702,3.4867608547
200.4234633446,-2.9997713566,3.4860680103
201.423520565,-2.9998095036,3.4853849411
202.4235777855,-2.9997880459,3.4847185612
203.423635006,-2.9997727871,3.4840209484
204.4236922264,-2.9997937679,3.4833340645
205.4237494469,-2.9997816086,3.4826579094
206.4228067398,-2.9997856617,3.481969595
207.4228639603,-2.9997894764,3.481294632
208.4229211807,-2.9997756481,3.480607748
209.4229784012,-2.9997987747,3.4799561501
210.4230356216,-2.9997842312,3.4792699814
211.4230928421,-2.9997880459,3.4785997868
212.4231500626,-2.999806881,3.4779474735
213.423207283,-2.9997930527,3.4772863388
214.4232645035,-2.9998054504,3.4766118526
215.4233217239,-2.999806881,3.4759757519
216.4233784676,-2.9997835159,3.4753022194
217.423435688,-2.9998123646,3.4746391773
218.4234929085,-2.9997954369,3.4739973545
219.4235501289,-2.999797821,3.4733290672
220.4236073494,-2.9998049736,3.4726805687
221.4236645699,-2.9997916222,3.4720344543
222.4237217903,-2.9997923374,3.471373558
223.4227790833,-2.9997930527,3.470741272
224.4228363037,-2.9997835159,3.470086813
225.4228935242,-2.9997897148,3.469440937
226.4229507446,-2.9997963905,3.4688186646
227.4230079651,-2.999787569,3.4681727886
228.4230651855,-2.9997894764,3.4675533772
229.423122406,-2.9997973442,3.4669094086
230.4231796265,-2.9998035431,3.4662754536
231.4232368469,-2.99979496,3.4656496048
232.4232940674,-2.9998118877,3.4650163651
233.4233512878,-2.9997868538,3.4643783569
234.4234085083,-2.9998025894,3.4637496471
235.4234657288,-2.9998059273,3.4631376266
236.4235224724,-2.9997925758,3.4625234604
237.4235796928,-2.9997963905,3.461892128
238.4236369133,-2.9998016357,3.4612698555
239.4236941338,-2.9997889996,3.4606535435
240.4237513542,-2.99979949,3.4600226879
241.4228086472,-2.9997940063,3.4594154358
242.4228658676,-2.9997925758,3.4588134289
243.4229230881,-2.9997866154,3.4581997395
244.4229803085,-2.9998049736,3.457597971
245.423037529,-2.9997878075,3.4569988251
246.4230947495,-2.9998006821,3.4563877583
247.4231519699,-2.999819994,3.4557785988
248.4232091904,-2.9998028278,3.455173254
249.4232664108,-2.9998300076,3.4545860291
250.4233236313,-2.9997906685,3.4539868832
251.4233808517,-2.99979949,3.4533836842
252.4234380722,-2.9998075962,3.4527802467
253.4234952927,-2.9998064041,3.4522023201
254.4235525131,-2.9997985363,3.4516119957
255.4236097336,-2.9997828007,3.4510195255
256.4236664772,-2.9998013973,3.4504163265
257.4237236977,-2.9998168945,3.4498457909
258.4227805138,-2.9997897148,3.4492609501
259.4228382111,-2.999806881,3.4486715794
260.4228949547,-2.9998314381,3.4480967522
261.422952652,-2.9997990131,3.4475111961
262.4230093956,-2.9998171329,3.446944952
263.4230670929,-2.9998087883,3.4463503361
264.4231238365,-2.9998230934,3.4457681179
265.4231815338,-2.9998309612,3.4452018738
266.4232382774,-2.9998059273,3.4446361065
267.4232959747,-2.9998319149,3.4440813065
268.4233527184,-2.999818325,3.4435150623
269.4234104156,-2.9998252392,3.4429388046
270.4234671593,-2.9998192787,3.4423811436
271.4235248566,-2.9998013973,3.4417963028
272.4235816002,-2.9998261929,3.4412508011
273.4236392975,-2.9998207092,3.4406766891
274.4236960411,-2.9997770786,3.440125227
275.4237537384,-2.9998075962,3.4395728111
276.4228100777,-2.9997925758,3.4390246868
277.422867775,-2.9997894764,3.4384872913
278.4229245186,-2.9997885227,3.4379160404
