Time (s),Current (A),Voltage(V)
0.4250240326,-2.999625206,3.8495292664
1.4250817299,-2.9996371269,3.8223412037
2.4251384735,-2.9996304512,3.8087975979
3.4251961708,-2.9996414185,3.7987082005
4.4252529144,-2.9997014999,3.7903482914
5.4253101349,-2.9996855259,3.7830448151
6.4253673553,-2.9996826649,3.7764565945
7.4254245758,-2.999694109,3.7703852654
8.4254813194,-2.9996953011,3.7647483349
9.4255390167,-2.999710083,3.7594528198
10.4245958328,-2.9997239113,3.7544381618
11.4246530533,-2.999727726,3.7496533394
12.4247102737,-2.9997124672,3.745115757
13.4247674942,-2.9996974468,3.7407586575
14.4248247147,-2.9997310638,3.7365927696
15.4248819351,-2.9997143745,3.7325847149
16.4249391556,-2.999714613,3.7287144661
17.424996376,-2.999710083,3.7249727249
18.4250535965,-2.9997215271,3.7213871479
19.425110817,-2.9997239113,3.7178966999
20.4251680374,-2.9997222424,3.7145206928
21.4252252579,-2.9997372627,3.711237669
22.4252824783,-2.999707222,3.7080497742
23.4253396988,-2.9997191429,3.7049219608
24.4253969193,-2.9997253418,3.7018859386
25.4254541397,-2.9997253418,3.6989383698
26.4255113602,-2.9997172356,3.6960339546
27.4245681763,-2.9997143745,3.6932044029
28.4246253967,-2.9997224808,3.690431118
29.4246826172,-2.9997279644,3.6876957417
30.4247398376,-2.9997410774,3.6850259304
31.4247970581,-2.9997210503,3.6824083328
32.4248542786,-2.9997124672,3.6798062325
33.424911499,-2.9997382164,3.6772415638
34.4249687195,-2.9997262955,3.6747496128
35.4250259399,-2.9997208118,3.6722788811
36.4250831604,-2.9997332096,3.6698412895
37.4251403809,-2.9997286797,3.6674416065
38.4251976013,-2.9997375011,3.6650722027
39.4252548218,-2.9997336864,3.6627409458
40.4253120422,-2.9997451305,3.6604406834
41.4253692627,-2.9997346401,3.6581623554
42.4254264832,-2.9997577667,3.6559157372
43.4254837036,-2.9997355938,3.6537108421
44.4255409241,-2.9997470379,3.6515345573
45.4245977402,-2.9997289181,3.649394989
46.4246549606,-2.9997346401,3.6472649574
47.4247121811,-2.9997310638,3.6451818943
48.4247694016,-2.9997251034,3.6431252956
49.424826622,-2.9997355938,3.641071558
50.4248838425,-2.9997172356,3.6390824318
51.4249410629,-2.9997088909,3.6370837688
52.4249982834,-2.9997239113,3.6351354122
53.4250555038,-2.9997212887,3.6331791878
54.4251127243,-2.9997198582,3.6312878132
55.4251699448,-2.9997045994,3.6293859482
56.4252271652,-2.9997215271,3.6275100708
57.4252843857,-2.9997208118,3.6256797314
58.4253416061,-2.9997205734,3.6238892078
59.4253988266,-2.9997265339,3.6220941544
60.4254560471,-2.9997372627,3.6203513145
61.4255132675,-2.9997398853,3.6186168194
62.4245705605,-2.9997291565,3.6169195175
63.4246277809,-2.9997155666,3.6152327061
64.4246845245,-2.9997236729,3.6135709286
65.424741745,-2.9997160435,3.6119225025
66.4247989655,-2.9997179508,3.6102969646
67.4248561859,-2.999723196,3.608710289
68.4249134064,-2.9997274876,3.6071219444
69.4249706268,-2.9997220039,3.6055727005
70.4250278473,-2.9997286797,3.6040356159
71.4250850677,-2.9997336864,3.6025252342
72.4251422882,-2.9997382164,3.6010408401
73.4251995087,-2.999724865,3.5995714664
74.4252567291,-2.9997279644,3.5980911255
75.4253139496,-2.9997205734,3.5966720581
76.42537117,-2.9997227192,3.5952618122
77.4254283905,-2.9997303486,3.59385252
78.425485611,-2.9997348785,3.5924732685
79.4255428314,-2.9997496605,3.5910925865
80.4246001244,-2.9997465611,3.5897583961
81.4246573448,-2.9997403622,3.5884301662
82.4247145653,-2.9997384548,3.5871200562
83.4247713089,-2.9997289181,3.5857982635
84.4248285294,-2.9997365475,3.5845110416
85.4248857498,-2.9997136593,3.5832350254
86.4249429703,-2.9997210503,3.5819919109
87.4250001907,-2.9997375011,3.5807387829
88.4250574112,-2.9997317791,3.5794990063
89.4251146317,-2.9997246265,3.5782909393
90.4251718521,-2.9997560978,3.5770657063
91.4252290726,-2.9997296333,3.5758926868
92.425286293,-2.9997296333,3.5746910572
93.4253435135,-2.9997179508,3.5735332966
94.4254007339,-2.9997317791,3.5723586082
95.4254579544,-2.9997279644,3.5712151527
96.4255151749,-2.9997112751,3.5700716972
97.4245724678,-2.9997222424,3.5689468384
98.4246296883,-2.9997255802,3.5678207874
99.4246869087,-2.9997286797,3.5667209625
100.4247441292,-2.9997200966,3.5656170845
101.4248013496,-2.9997220039,3.564517498
102.4248585701,-2.9997210503,3.5634570122
103.4249153137,-2.9997301102,3.5623793602
104.4249725342,-2.9997286797,3.5612974167
105.4250297546,-2.9997274876,3.560246706
106.4250869751,-2.9997324944,3.5591959953
107.4251441956,-2.9997348785,3.5581486225
108.425201416,-2.9997372627,3.557097435
109.4252586365,-2.9997439384,3.5560815334
