Time (s),Current (A),Voltage(V)
0.4230241776,-2.9996604919,3.8507406712
1.4230809212,-2.9996626377,3.8244776726
2.4231386185,-2.9996619225,3.8112523556
3.4231953621,-2.999658823,3.8013691902
4.4232530594,-2.9997007847,3.793161869
5.423309803,-2.9996988773,3.7859697342
6.4233675003,-2.9997155666,3.7795059681
7.4234242439,-2.9997341633,3.7735280991
8.4234819412,-2.999710083,3.7679572105
9.4235386848,-2.9997172356,3.7627434731
10.4235963821,-2.9997372627,3.7578063011
11.4236531258,-2.9997475147,3.7530992031
12.4237108231,-2.9997355938,3.74862957
13.4237675667,-2.9997265339,3.7443344593
14.423825264,-2.9997181892,3.7402429581
15.4238820076,-2.9997296333,3.7362749577
16.4239392281,-2.9997425079,3.7324817181
17.4239964485,-2.9997291565,3.728811264
18.4230532646,-2.9997420311,3.725260973
19.4231104851,-2.9997437,3.7218523026
20.4231677055,-2.9997270107,3.7185254097
21.423224926,-2.9997396469,3.7152926922
22.4232821465,-2.9997322559,3.712157011
23.4233393669,-2.9997336864,3.7091214657
24.4233965874,-2.9997577667,3.7061173916
25.4234538078,-2.9997439384,3.7032227516
26.4235110283,-2.9997439384,3.7004048824
27.4235682487,-2.9997348785,3.69764781
28.4236254692,-2.9997396469,3.6949181557
29.4236826897,-2.9997410774,3.6922590733
30.4237399101,-2.9997410774,3.6896283627
31.4237971306,-2.9997472763,3.6870670319
32.423854351,-2.9997603893,3.6845417023
33.4239115715,-2.9997835159,3.6820409298
34.423968792,-2.999751091,3.6795992851
35.4230256081,-2.9997484684,3.6771905422
36.4230828285,-2.9997437,3.6748185158
37.423140049,-2.9997506142,3.6724512577
38.4231972694,-2.9997622967,3.6701574326
39.4232544899,-2.999774456,3.6678419113
40.4233117104,-2.9997637272,3.6656081676
41.4233689308,-2.9997661114,3.6633946896
42.4234261513,-2.9997551441,3.661210537
43.4234833717,-2.9997701645,3.6590569019
44.4235405922,-2.9997324944,3.6569356918
45.4235978127,-2.999758482,3.6548080444
46.4236550331,-2.999765873,3.6527113914
47.4237122536,-2.9997479916,3.6506633759
48.423769474,-2.9997611046,3.6486449242
49.4238266945,-2.999745369,3.6466288567
50.4238839149,-2.9997549057,3.6446313858
51.4239411354,-2.999753952,3.6426925659
52.4239983559,-2.9997644424,3.640750885
53.4230556488,-2.9997437,3.6388194561
54.4231123924,-2.9997735023,3.6369314194
55.4231696129,-2.9997656345,3.6350688934
56.4232268333,-2.9997515678,3.6332273483
57.4232840538,-2.9997491837,3.6314077377
58.4233412743,-2.9997501373,3.6296048164
59.4233984947,-2.9997467995,3.627825737
60.4234557152,-2.9997622967,3.6260578632
61.4235129356,-2.9997646809,3.6243472099
62.4235701561,-2.9997711182,3.6226177216
63.4236273766,-2.9997417927,3.6209402084
64.423684597,-2.9997363091,3.6192536354
65.4237418175,-2.9997580051,3.6176252365
66.4237990379,-2.9997663498,3.6159911156
67.4238562584,-2.9997606277,3.6143741608
68.4239134789,-2.9997582436,3.6127891541
69.4239706993,-2.9997560978,3.6112334728
70.4230279922,-2.9997467995,3.609698534
71.4230852127,-2.9997389317,3.6081719398
72.4231424332,-2.9997372627,3.6066718102
73.4231996536,-2.9997429848,3.6052007675
74.4232563972,-2.9997458458,3.6037347317
75.4233136177,-2.9997386932,3.6022918224
76.4233708382,-2.9997398853,3.600864172
77.4234280586,-2.9997317791,3.5994560719
78.4234852791,-2.9997315407,3.5980727673
79.4235424995,-2.9997375011,3.5966949463
80.42359972,-2.9997537136,3.5953242779
81.4236569405,-2.9997456074,3.593988657
82.4237141609,-2.999753952,3.592663765
83.4237713814,-2.999756813,3.5913641453
84.4238286018,-2.9997360706,3.5900566578
85.4238858223,-2.9997355938,3.5887916088
86.4239430428,-2.9997506142,3.5875248909
87.4240002632,-2.9997520447,3.5862817764
88.4230575562,-2.9997620583,3.5850608349
89.4231147766,-2.999755621,3.5838441849
90.4231719971,-2.9997520447,3.5826311111
91.4232292175,-2.9997413158,3.5814297199
92.423286438,-2.9997537136,3.580247879
93.4233436584,-2.9997460842,3.5790698528
94.4234004021,-2.9997344017,3.5779144764
95.4234576225,-2.9997656345,3.5767629147
96.423514843,-2.9997603893,3.5756554604
97.4235720634,-2.9997649193,3.5745046139
98.4236292839,-2.9997403622,3.5734097958
99.4236865044,-2.9997432232,3.5723071098
100.4237437248,-2.9997332096,3.5711975098
101.4238009453,-2.9997377396,3.5701165199
102.4238581657,-2.9997582436,3.5690507889
103.4239153862,-2.9997391701,3.5679764748
104.4239726067,-2.9997398853,3.5669219494
105.4230298996,-2.9997575283,3.5658640862
106.4230871201,-2.9997608662,3.5648157597
107.4231443405,-2.999776125,3.563773632
108.423201561,-2.9997675419,3.5627350807
109.4232587814,-2.9997758865,3.5617022514
110.4233160019,-2.9997656345,3.5607097149
111.4233732224,-2.999777317,3.5596883297
112.4234304428,-2.9997508526,3.5586967468
113.4234876633,-2.9997680187,3.5576815605
114.4235444069,-2.9997699261,3.5566952229
115.4236016273,-2.9997601509,3.5557436943
116.4236588478,-2.9997727871,3.554728508
117.4237160683,-2.9997565746,3.5537724495
118.4237732887,-2.9997560978,3.5527935028
119.4238305092,-2.9997580051,3.5518314838
120.4238877296,-2.999767065,3.5508952141
121.4239449501,-2.9997754097,3.5499491692
122.4240021706,-2.9997656345,3.5490114689
123.4230594635,-2.999751091,3.5480763912
124.4231162071,-2.9997634888,3.5471434593
125.4231739044,-2.999758482,3.5462124348
126.423230648,-2.9997637272,3.545273304
127.4232883453,-2.999771595,3.5443582535
128.423345089,-2.9997813702,3.5434494019
129.4234027863,-2.999789238,3.5425269604
130.4234595299,-2.9997878075,3.5416469574
131.4235172272,-2.9997534752,3.5407474041
132.4235739708,-2.9997651577,3.5398461819
133.4236311913,-2.9997816086,3.5389537811
134.4236884117,-2.9997868538,3.5380575657
135.4237456322,-2.9997756481,3.5371980667
136.4238028526,-2.9997661114,3.5363078117
137.4238600731,-2.9997684956,3.5354225636
138.4239168167,-2.9997813702,3.5345525742
139.423974514,-2.9997816086,3.53368783
140.4230313301,-2.9997844696,3.5328319073
141.4230885506,-2.9997754097,3.5319843292
142.423145771,-2.9997701645,3.5311272144
143.4232029915,-2.9997711182,3.530269146
144.4232602119,-2.9997885227,3.5294320583
145.4233174324,-2.9997735023,3.5285849571
146.4233746529,-2.9997677803,3.5277400017
147.4234318733,-2.999792099,3.5269181728
148.4234890938,-2.9997816086,3.5260777473
149.4235463142,-2.9997732639,3.5252463818
150.4236035347,-2.9997885227,3.5244357586
151.4236607552,-2.9997665882,3.5236065388
152.4237179756,-2.999765873,3.5227811337
153.4237751961,-2.9997825623,3.5219442844
154.4238324165,-2.9997889996,3.5211348534
155.423889637,-2.9997940063,3.5203337669
156.4239468575,-2.999789238,3.5195069313
157.4240036011,-2.9997837543,3.5187211037
158.423060894,-2.999778986,3.5179157257
159.4231181145,-2.9997904301,3.5171279907
160.4231753349,-2.9997766018,3.5163388252
161.4232325554,-2.9997799397,3.515535593
162.4232897758,-2.9997918606,3.5147559643
163.4233469963,-2.9998002052,3.513958931
164.4234042168,-2.9997980595,3.5131862164
165.4234614372,-2.9997923374,3.5124187469
166.4235186577,-2.9997868538,3.5116345882
167.4235758781,-2.9997758865,3.5108602047
168.4236330986,-2.999796629,3.5100905895
169.4236903191,-2.9997856617,3.5093283653
170.4237475395,-2.9997692108,3.5085630417
171.42380476,-2.9997940063,3.5077884197
172.4238619804,-2.9997866154,3.5070366859
173.4239192009,-2.9997718334,3.5062735081
174.4239764214,-2.9997823238,3.505522728
175.4230332375,-2.9997766018,3.5047757626
176.4230904579,-2.9997854233,3.5040194988
177.4231476784,-2.9997885227,3.5032582283
178.4232048988,-2.9997951984,3.5025131702
179.4232621193,-2.9997854233,3.5017812252
180.4233193398,-2.9997775555,3.5010197163
181.4233765602,-2.9997842312,3.5002932549
182.4234337807,-2.9997906685,3.499584198
183.4234910011,-2.9997806549,3.4988284111
184.4235482216,-2.9997775555,3.4980978966
185.423605442,-2.9997608662,3.4973900318
186.4236626625,-2.9997746944,3.496663332
187.423719883,-2.9997842312,3.4959485531
188.4237771034,-2.9997677803,3.4952144623
189.4238343239,-2.9997770786,3.4944887161
190.4238915443,-2.9997694492,3.4937722683
191.4239487648,-2.9997746944,3.4930651188
192.4240059853,-2.9997870922,3.4923679829
193.4230628014,-2.9997787476,3.4916408062
194.4231200218,-2.9997639656,3.4909350872
195.4231772423,-2.9997799397,3.4902226925
196.4232344627,-2.9997806549,3.4895255566
197.4232916832,-2.9997880459,3.4888224602
198.4233489037,-2.9997768402,3.4881358147
199.4234061241,-2.9997684956,3.4874362946
200.4234633446,-2.9997889996,3.4867291451
201.423520565,-2.9997885227,3.4860367775
202.4235777855,-2.9997680187,3.4853498936
203.423635006,-2.999797821,3.4846515656
204.4236922264,-2.9997835159,3.4839806557
205.4237494469,-2.9997835159,3.4832906723
206.4238066673,-2.9998047352,3.4826054573
207.4238638878,-2.9997866154,3.4819331169
208.4239211082,-2.999787569,3.4812800884
209.4239783287,-2.9997849464,3.4805862904
210.4230356216,-2.99979496,3.4798955917
211.4230928421,-2.9997849464,3.4792380333
212.4231500626,-2.9997656345,3.4785709381
213.4232068062,-2.9997918606,3.4779174328
214.4232640266,-2.9997596741,3.477227211
215.4233212471,-2.9997904301,3.4765651226
216.4233784676,-2.9997725487,3.4759261608
217.423435688,-2.9997830391,3.4752528667
218.4234929085,-2.9997701645,3.4745929241
219.4235501289,-2.9997849464,3.4739334583
220.4236073494,-2.9997720718,3.4732692242
221.4236645699,-2.9997782707,3.4726238251
222.4237217903,-2.9997701645,3.4719846249
223.4237790108,-2.9997801781,3.4713122845
224.4238362312,-2.9997937679,3.4706828594
225.4238934517,-2.9997718334,3.4700396061
226.4239506721,-2.9997944832,3.469394207
227.4240078926,-2.9997987747,3.4687504768
228.4230651855,-2.9998025894,3.4681065083
229.423122406,-2.9997940063,3.4674704075
230.4231796265,-2.9997947216,3.4668595791
231.4232368469,-2.999778986,3.4662103653
232.4232940674,-2.9998059273,3.4655749798
233.423350811,-2.9997918606,3.4649629593
234.4234080315,-2.9997808933,3.4643290043
235.4234652519,-2.9997923374,3.4637160301
236.4235224724,-2.9997889996,3.4630806446
237.4235796928,-2.999768734,3.4624319077
238.4236369133,-2.9997909069,3.4618263245
239.4236941338,-2.9997866154,3.461217165
240.4237513542,-2.9998095036,3.4605960846
241.4238085747,-2.9997766018,3.4599897861
242.4238657951,-2.9997899532,3.4593570232
243.4239230156,-2.99979949,3.4587597847
244.4239802361,-2.9997816086,3.4581580162
245.4230370522,-2.9997885227,3.4575545788
246.4230947495,-2.9997894764,3.4569342136
247.4231514931,-2.9998040199,3.4563286304
248.4232091904,-2.9997868538,3.4557206631
249.423265934,-2.999777317,3.4551289082
250.4233236313,-2.9997992516,3.4545137882
251.4233803749,-2.9997823238,3.4539282322
252.4234375954,-2.9997975826,3.4533312321
253.4234948158,-2.9997866154,3.4527344704
254.4235520363,-2.9997808933,3.4521398544
255.4236092567,-2.99979949,3.4515476227
256.4236664772,-2.9997663498,3.4509689808
257.4237232208,-2.9997932911,3.4503695965
258.4237809181,-2.9997799397,3.4497704506
259.4238376617,-2.9997808933,3.4491870403
260.423895359,-2.9998013973,3.4485986233
261.4239521027,-2.9997930527,3.4480118752
262.4240098,-2.9998135567,3.4474494457
263.4230666161,-2.9997971058,3.4468791485
264.4231238365,-2.9998033047,3.4463062286
265.423181057,-2.999792099,3.4457163811
266.4232382774,-2.9997825623,3.4451417923
267.4232954979,-2.9997971058,3.4445757866
268.4233527184,-2.9997906685,3.4439952374
269.4234099388,-2.9997794628,3.4434468746
270.4234671593,-2.9998002052,3.4428756237
271.4235243797,-2.9997985363,3.4423139095
272.4235816002,-2.9997954369,3.4417519569
273.4236388206,-2.9997944832,3.441170454
274.4236960411,-2.9998025894,3.4406352043
275.4237532616,-2.9998004436,3.4400649071
276.4238100052,-2.9997990131,3.4395036697
277.4238672256,-2.9998073578,3.4389529228
278.4239244461,-2.9997870922,3.4383897781
279.4239816666,-2.999830246,3.4378302097
280.4230389595,-2.9997944832,3.4372913837
281.42309618,-2.9998033047,3.4367399216
282.4231534004,-2.999808073,3.4362025261
283.4232106209,-2.9997837543,3.4356389046
284.4232678413,-2.9998056889,3.4350829124
285.4233250618,-2.9997947216,3.4345610142
286.4233822823,-2.9997973442,3.4340112209
287.4234395027,-2.9997870922,3.4334652424
288.4234967232,-2.9997720718,3.4329447746
289.4235539436,-2.999797821,3.4324245453
290.4236111641,-2.99979496,3.4318768978
291.4236683846,-2.9997816086,3.4313430786
292.423725605,-2.9997932911,3.4308133125
293.4237828255,-2.9997992516,3.4302744865
294.4238400459,-2.9997823238,3.4297389984
295.4238972664,-2.9997999668,3.4292151928
296.42395401,-2.999786377,3.4286909103
297.4240112305,-2.99979949,3.4281599522
298.4230685234,-2.9997973442,3.4276292324
299.4231257439,-2.9998009205,3.4271154404
300.4231829643,-2.999796629,3.4265980721
301.4232401848,-2.9997911453,3.4260778427
302.4232974052,-2.9998118877,3.4255673885
303.4233546257,-2.9998071194,3.425052166
304.4234118462,-2.9998116493,3.4245369434
305.4234690666,-2.9998104572,3.4240369797
306.4235262871,-2.9998111725,3.4235255718
307.4235835075,-2.9998171329,3.423012495
308.423640728,-2.9998073578,3.4225158691
309.4236979485,-2.9997787476,3.422018528
310.4237551689,-2.9997894764,3.4215149879
311.4238123894,-2.9997909069,3.4210247993
312.4238696098,-2.999806881,3.4205038548
313.4239268303,-2.999815464,3.4200320244
314.4239840508,-2.9997882843,3.4195306301
315.4230408669,-2.9998288155,3.4190249443
316.4230980873,-2.9998118877,3.4185714722
317.4231553078,-2.9997839928,3.4180569649
318.4232125282,-2.9997704029,3.417579174
319.4232697487,-2.9998047352,3.4171042442
320.4233269691,-2.9998044968,3.4166154861
321.4233841896,-2.9998104572,3.4161291122
322.4234414101,-2.9998130798,3.4156446457
323.4234986305,-2.9998130798,3.4151508808
324.423555851,-2.9998009205,3.4146873951
325.4236130714,-2.9997944832,3.4142112732
326.4236702919,-2.9997732639,3.4137208462
327.4237275124,-2.9998204708,3.413257122
328.4237847328,-2.9998013973,3.4127919674
329.4238419533,-2.9998059273,3.4123008251
330.4238991737,-2.9997851849,3.4118542671
331.4239563942,-2.999797821,3.4113724232
332.4240136147,-2.9997935295,3.4109187126
333.4230704308,-2.9997961521,3.4104762077
334.4231276512,-2.9997923374,3.4099993706
335.4231848717,-2.9998028278,3.4095411301
336.4232420921,-2.9998035431,3.4091129303
337.4232993126,-2.9997880459,3.4086313248
338.4233565331,-2.9998075962,3.4081747532
339.4234137535,-2.999777317,3.4077539444
340.423470974,-2.999768734,3.4073033333
341.4235281944,-2.9998047352,3.40686059
342.4235854149,-2.9997770786,3.4064083099
343.4236426353,-2.9998087883,3.4059588909
344.4236998558,-2.9997808933,3.4055063725
345.4237570763,-2.999812603,3.4050602913
346.4238142967,-2.9997944832,3.4046416283
347.4238715172,-2.999787569,3.4041948318
348.4239287376,-2.9997923374,3.4037787914
349.4239859581,-2.9997925758,3.4033293724
350.423043251,-2.9997909069,3.4028997421
351.4230999947,-2.9997951984,3.4024517536
352.4231572151,-2.9998009205,3.4020285606
353.4232144356,-2.9997973442,3.4016060829
354.423271656,-2.9997918606,3.4011604786
355.4233288765,-2.9998059273,3.4007492065
356.423386097,-2.9997975826,3.4003109932
